Official Symbol Interactor A	Official Symbol Interactor B
TRPC4AP	TRAF2
UBE2B	UBR2
PPM1B	IKBKB
PPM1B	CHUK
IKBKB	PPM1B
CHUK	PPM1B
LCK	PIK3CA
PAN2	PAN3
PAN2	PABPC1
RRM1	RRM2
RRM1	RRM2B
RARA	NRIP1
RARA	KAT2B
DCTN1	DST
PNN	PNISR
PNN	SRSF4
PNN	SRRM2
SNCG	BUB1B
FHOD1	FHOD1
EGFR	EGFR
ERBB2	ERBB2
MED19	MED17
MED19	MED6
MED19	MED8
MED19	MED31
MED19	MED18
MED19	MED11
MED19	MED20
MED19	MED29
MED29	MED17
MED29	MED6
MED29	MED8
MED29	MED20
MED29	MED29
MED29	MED31
MED29	MED18
MED29	MED11
MED10	MED17
MED10	MED6
MED10	MED8
MED10	MED20
MED10	MED29
MED10	MED31
MED10	MED18
MED10	MED11
NFKB1	KLF5
PSEN1	NCSTN
PSEN1	PSENEN
PSEN1	APH1A
NCSTN	PSENEN
NCSTN	APH1A
NCSTN	PSEN1
PSENEN	NCSTN
PSENEN	APH1A
PSENEN	PSEN1
