Official Symbol Interactor A	Official Symbol Interactor B
Nanog	Chd4
Nanog	Mta1
Nanog	Trrap
Nanog	Rnf2
Nanog	Phc1
Nanog	Sin3a
Nanog	Kdm1a
Nanog	Zmym2
Nanog	Tet1
Nanog	Polr2a
Nanog	Psmd11
Nanog	Mov10
Nanog	Rfc4
Nanog	Smc3
Nanog	Pogz
Nanog	Msh6
Nanog	2210018M11Rik
Nanog	Brca2
Nanog	Dnaja1
Nanog	Dnttip1
Nanog	Qser1
Tfap2a	Rnf20
Wwp2	Smarcc1
Rnf31	Vcp
Rnf31	Otulin
Rnf31	Cyld
Fbxl16	Ppp2r1a
Fbxl16	Ppp2r2a
Mafk	Bach2
Kcnma1	Hspa8
Ighm	Vcp
Kcnma1	Anxa5
Kcnma1	Gapdh
Kcnma1	Apoa1
Kcnma1	Hpcal1
Kcnma1	Cfl1
Kcnma1	Ywhag
Kcnma1	Lin7c
Rad23b	Xpc
Vms1	Vcp
Isg15	Vars
Isg15	Lars
Isg15	Iars
Isg15	Samhd1
Isg15	Uba7
Isg15	Anxa6
Sox2	Parp1
Pparg	Vim
Clec16a	Rnf41
Kcnma1	Hspa8
Kcnma1	Dnm1
Vamp2	Syp
Vamp2	Stx1a
Vamp2	Dnm1
Eed	Rnf2
Eed	Bmi1
Eed	Suz12
Eed	Hdac1
Pik3cb	Nbn
Pik3cb	Rad17
Trim63	Mybpc2
Trim63	Mylpf
Trim63	Myl1
Trim63	Myh1
Trim63	Acta1
Nanog	Zfp609
Nanog	2210018M11Rik
Nanog	Nacc1
Nanog	Brca2
Nanog	Tet1
Nanog	Qser1
Nanog	Bptf
Nanog	Gatad2a
Nanog	Arid3b
Nanog	Hdac2
Nanog	Pou5f1
Nanog	Mta2
Nanog	Trrap
Nanog	Sall4
Nanog	Mta3
Nanog	Smc3
Nanog	Wdr18
Peli3	Sqstm1
H2afx	Scml2
Uhrf1	Top2a
Uhrf1	Parp1
Uhrf1	Top2b
Kat5	Hdac6
Kat5	Ep400
Kat5	Dmap1
Elf5	Eomes
Elf5	Tfap2c
Fbxw7	Skp1a
Fbxw7	Cul1
Fbxw7	Myb
Itch	Tab1
Chaf1a	Asf1b
Chaf1a	Chaf1b
Chaf1a	Asf1a
Chaf1a	Cbx5
Chaf1a	Setdb1
Chaf1a	Kdm1a
Chaf1a	Hdac2
Cebpa	Ddit3
Cebpa	Wdr5
Mafa	Rbbp5
Mafa	Ash2l
Mafa	Ncoa6
Bax	Ptges3
Dlg4	Arc
Dlg4	Gria2
Dlg4	Grin1
Dlg4	Grin2a
Dlg4	Grin2b
Dlg4	Grin2d
Dlg4	Kcna4
Dlg4	Lrp1
Dlgap1	Grin2b
Dlgap1	Grin1
Syngap1	Grin2b
Syngap1	Grin1
Syngap1	Ywhaz
Lnx1	Erc1
Lnx1	Erc2
Lnx1	Fchsd2
Lnx1	Ppfia1
Lnx2	Erc1
Lnx2	Fchsd2
Lnx2	Srgap2
Lnx2	Erc2
