source target sign
GADE-RCSB YHIM +
HYPT CYDA +
HYPT METQ +
HYPT METI +
HYPT METN +
HYPT CYDB +
MELR MELA +
MELR MELB +
MELR MELR +
TRER TREC -
TRER TREB -
CYSB SSUA -
CYSB CYSP +
CYSB SSUB -
CYSB SSUE -
CYSB CYSM +
CYSB SSUC -
CYSB TAUA +
CYSB CYSW +
CYSB SSUD -
CYSB TAUD +
CYSB CYSU +
CYSB TAUB +
CYSB TAUC +
CYSB CYSA +
CYSB CBL +
GADE GLTF +
GADE MDTF +
GADE RCSA +
GADE MDTE +
GADE GADE +
GADE GADF +
GADE GADX +
GADE GLTD +
GADE GADC +
GADE GLTB +
GADE GADB +
GADE GADW +
SIGMA54 GLNG +
SIGMA54 ASTB +
SIGMA54 HYCD +
SIGMA54 HYCA +
SIGMA54 FDHF +
SIGMA54 HYCI +
SIGMA54 HYCG +
SIGMA54 HYCF +
SIGMA54 IBPB +
SIGMA54 GLNL +
SIGMA54 RPOH +
SIGMA54 HYCC +
SIGMA54 GLNH +
SIGMA54 GLNQ +
SIGMA54 GLNP +
SIGMA54 HYCB +
SIGMA54 ASTE +
SIGMA54 ASTA +
SIGMA54 RELA +
SIGMA54 HYCE +
SIGMA54 HYPA +
SIGMA54 HYPD +
SIGMA54 HYCH +
SIGMA54 FHLA +
SIGMA54 PSPG +
SIGMA54 GLNA +
SIGMA54 HYPE +
SIGMA54 ASTC +
SIGMA54 ASTD +
SIGMA54 HYPC +
SIGMA54 HYPB +
PGRR YCJF -
PGRR TYRR -
PGRR YCJG -
PGRR YCJX -
PGRR YCJY -
PGRR YMJD -
PGRR YMJC -
PGRR MPAA -
NARP YDHX -
NARP YDHV -
NARP NRFF +
NARP YDEP -
NARP NRFA +
NARP NRFC +
NARP NRFG +
NARP YDHY -
NARP NRFD +
NARP NRFE +
NARP NRFB +
NARP YDHW -
NARP YDHU -
NARP YDHT -
UVRY UHPT +
UVRY CSRB +
UVRY LUXS +
UVRY YDEP +
UVRY CSRC +
UXUR GNTP -
UXUR UXUA -
UXUR UXUB -
UXUR LGOR -
LRP RRFB -
LRP RRFC -
LRP RRLC -
LRP FAU -
LRP GABD +
LRP FIMF +
LRP OSMC +
LRP GLTT -
LRP CSID +
LRP RRSC -
LRP SERA +
LRP CADA +
LRP ARGO +
LRP OPPD -
LRP GABT +
LRP FIMC +
LRP OPPC -
LRP LIVJ -
LRP GLTU -
LRP FIMD +
LRP OPPB -
LRP CADB +
LRP AIDB -
LRP LHGO +
LRP RRSB -
LRP OPPA -
LRP GABP +
LRP FIMH +
LRP MICF -
LRP DADX -
LRP LYSP +
LRP DADA -
LRP FIMG +
LRP OSMY -
LRP SSRS -
LRP RRLB -
LRP FIMA +
LRP FIMI +
LRP OPPF -
CAIF FIXC +
CAIF CAIT +
CAIF FIXA +
CAIF CAIE +
CAIF CAIA +
CAIF CAIB +
CAIF CAIC +
CAIF FIXX +
CAIF CAID +
CAIF FIXB +
SIGMA28 FLIC +
SIGMA28 FLIT +
SIGMA28 FLID +
SIGMA28 VES +
SIGMA28 FLIS +
HU GALT -
HU GALM -
HU GALE -
HU GALK -
RUTR GADX -
RUTR GADW -
AIDB AIDB -
YDEO HYAF +
YDEO MDTF +
YDEO APPC +
YDEO MDTE +
YDEO SLP +
YDEO HYAA +
YDEO GADE +
YDEO GADF +
YDEO DCTR +
YDEO HYAE +
YDEO HYAB +
YDEO USPD +
YDEO HYAC +
YDEO YIIS +
YDEO APPA +
YDEO APPB +
YDEO APPX +
YDEO HYAD +
YDEO GADW +
PDEL PDEL +
GLPR GLPK -
GLPR GLPA -
GLPR GLPD -
GLPR GLPX -
GLPR GLPT -
GLPR GLPC -
GLPR GLPQ -
GLPR GLPF -
GLPR GLPB -
SUTR SUTR +
SUTR CYSE -
RCSB RSEA +
RCSB YDEP +
RCSB RSEC +
RCSB SRA +
RCSB RPOE +
RCSB GADA -
RCSB BDM +
RCSB GADX -
RCSB OSMC +
RCSB RSEB +
RELB RELE -
RELB HOKD -
RELB RELB -
CRA ACEA +
CRA ENO -
CRA PGK -
CRA PFKA -
CRA MTLD -
CRA MTLR -
CRA EDD -
CRA ICD +
CRA PCK +
CRA EPD -
CRA EDA -
CRA HYPF -
CRA ACEK +
CRA MTLA -
CRA FBAA -
CRA ACEB +
CRA CRP +
SLYA HLYE +
LRHA FLHD -
LRHA FLHC -
LRHA FIME +
LRHA LRHA +
CYTR TSX -
CYTR NUPG -
CYTR CYTR -
CYTR CDD -
CYTR DEOA -
CYTR DEOC -
CYTR RPOH -
CYTR UDP -
CYTR DEOD -
CYTR PPIA -
CYTR DEOB -
HIPAB MAZF -
HIPAB MAZE -
HIPAB HIPB -
HIPAB HIPA -
HIPAB RELA -
OXYR KATG +
OXYR UOF +
OXYR HCR +
OXYR AHPC +
OXYR YBJN -
OXYR OXYS +
OXYR SUFE +
OXYR HCP +
OXYR SUFB +
OXYR YBJC -
OXYR OXYR -
OXYR SUFA +
OXYR TRXC +
OXYR AHPF +
OXYR DSBG +
OXYR ISRC -
OXYR RIMK -
OXYR SUFD +
OXYR FLU -
OXYR SUFS +
OXYR FUR +
OXYR GRXA +
OXYR NFSA -
OXYR SUFC +
OXYR FHUF -
OXYR YCHF -
OXYR HEMH +
MCBR YCIF +
MCBR YCIG +
MCBR MCBA -
MCBR YCIE +
NANR NANS -
NANR YHCH -
NANR NANE -
NANR YJHC -
NANR FIMB +
NANR NANA -
NANR NANM -
NANR NANK -
NANR YJHB -
NANR NANT -
NANR NANC -
GALS GALT +
GALS GALM +
GALS GALE +
GALS GALK +
HIPB HIPB -
HIPB FADH -
HIPB HIPA -
TORR TNAA +
TORR TNAB +
TORR TNAC +
PEPA CARA -
PEPA CARB -
PEPA PEPA -
NRDR NRDG -
NRDR NRDI -
NRDR NRDE -
NRDR NRDH -
NRDR NRDD -
NRDR NRDA -
NRDR NRDF -
NRDR YFAE -
NRDR NRDB -
MLC PTSG -
MLC PTSH -
MLC PTSI -
MLC CRR -
TYRR AROM -
TYRR AROL -
TYRR YAIA -
TYRR FOLA +
TYRR MTR +
TYRR AROG -
TYRR AROP -
TYRR TYRB -
YEFM YOEB -
YEFM YEFM -
YPDB YHJX +
METJ METC -
METJ METR -
METJ METE -
PUTA PUTA -
PUTA PUTP -
YEHT YJIY +
FUR GSPO -
FUR GSPJ -
FUR FTNA +
FUR PYRC -
FUR FEPG -
FUR FHUB -
FUR GSPM -
FUR FHUD -
FUR GARL -
FUR GSPI -
FUR ENTS -
FUR SUFB -
FUR GARR -
FUR GSPL -
FUR SUFA -
FUR FHUC -
FUR OPPB -
FUR GARP -
FUR GSPC -
FUR GSPD -
FUR OPPD -
FUR FHUA -
FUR RNPB -
FUR FEPD -
FUR TFAQ -
FUR OPPC -
FUR OPPA -
FUR SUFS -
FUR FUR -
FUR GSPH -
FUR FEPC -
FUR GSPF -
FUR SUFC -
FUR GSPG -
FUR SUFE -
FUR CRL -
FUR NOHA -
FUR SUFD -
FUR GSPE -
FUR GARK -
FUR YDFN -
FUR GSPK -
FUR OPPF -
NARL DCUA -
NARL NARK +
NARL NRFF -
NARL NARJ +
NARL HCR +
NARL NARH +
