regulator 	 regulated 	 sign
narl	nrfg	+	strong
csgd	flik	-	strong
glrr	rseb	+	strong
cytr	deoc	-	strong
fliz	flhd	-	strong
agar	agac	-	strong
pdhr	ndh	-	strong
puta	putp	-	strong
gade	mdtf	+	strong
arca	hyae	+	strong
crp	paah	+	strong
qseb	qseb	+	strong
fur	sufb	-	strong
ihf	glnq	+	strong
crp	trub	-	strong
ihf	acea	+	strong
fis	rrfg	+	strong
puur	puua	-	strong
nikr	nikb	-	strong
ihf	hyci	+	strong
puur	puur	-	strong
h-ns	bglj	-	strong
fis	rrfd	+	strong
mara	yhid	-	strong
ompr	csgg	+	strong
rob	mara	+	strong
fis	nuoc	+	strong
h-ns	dctr	-	strong
phob	phnf	+	strong
crp	rsea	+	strong
mata	ecpa	+	strong
fis	adhe	+	strong
rcda	yagk	-	strong
csgd	csgf	+	strong
cra	eno	-	strong
lrp	sera	+	strong
fliz	osmy	-	strong
galr	galr	-	strong
nagc	nage	-	strong
csgd	yhbs	-	strong
narl	frdb	-	strong
h-ns	hlye	+	strong
lrp	gabp	+	strong
ompr	pgaa	-	strong
soxs	ompn	+	strong
dcur	dpib	+	strong
flhdc	flir	+	strong
nagc	umph	-	strong
crp	lsrr	+	strong
narp	ydhy	-	strong
fhla	hypb	+	strong
relb	hokd	-	strong
fliz	gadc	-	strong
mara	fumc	+	strong
basr	hha	+	strong
ular	ulae	-	strong
iscr	isca	-	strong
ihf	yiam	+	strong
phob	fear	-	strong
fis	glyt	+	strong
phob	phnc	+	strong
mode	modc	-	strong
hipab	maze	-	strong
fnr	ydhx	+	strong
narl	frda	-	strong
cpxr	baer	+	strong
pdhr	cyob	-	strong
mode	moae	+	strong
puur	puue	-	strong
fis	ptsg	-	strong
leuo	bglb	+	strong
h-ns	nrdg	-	strong
fis	tufb	+	strong
fis	ndh	-	strong
ihf	paak	+	strong
lrp	fimf	+	strong
iscr	sufb	+	strong
ihf	fis	+	strong
chbr	chbc	-	strong
crp	psie	-	strong
cysb	taud	+	strong
crp	mazf	+	strong
ihf	hypb	+	strong
fis	nuoj	+	strong
rcnr	rcnr	-	strong
mara	nfsb	+	strong
fur	fepc	-	strong
fnr	nird	+	strong
crp	hflk	-	strong
crp	mhpr	+	strong
fis	fis	-	strong
iscr	hyae	-	strong
cusr	cusf	+	strong
crp	casd	-	strong
leuo	bglf	+	strong
rcnr	rcnb	-	strong
soxs	acra	+	strong
bira	biod	-	strong
hipab	mazf	-	strong
arca	icd	-	strong
ihf	soda	-	strong
iscr	hyad	-	strong
crp	laca	-	strong
flhdc	fliz	+	strong
leuo	casb	+	strong
fis	rrfc	+	strong
narp	nrfg	+	strong
puur	puub	-	strong
galr	galm	-	strong
h-ns	gspk	-	strong
mode	ccma	+	strong
narl	ydhy	-	strong
narp	ydht	-	strong
flhdc	flia	+	strong
leuo	casa	+	strong
cpxr	arog	+	strong
hipab	rela	-	strong
ihf	sgbe	+	strong
ydeo	appc	+	strong
fis	thrv	+	strong
h-ns	case	-	strong
h-ns	appy	-	strong
arca	sdhc	-	strong
fis	hns	+	strong
ihf	yjbh	+	strong
csgd	flii	-	strong
dnaa	dnaa	-	strong
crp	lsrk	+	strong
phob	ugpa	+	strong
lrha	flhc	-	strong
narp	nrfc	+	strong
h-ns	yhim	-	strong
fur	gspi	-	strong
cpxr	hha	+	strong
mara	inaa	+	strong
xylr	xylr	+	strong
mcbr	ycig	+	strong
ihf	glnh	+	strong
h-ns	galk	-	strong
nrdr	nrde	-	strong
caif	caid	+	strong
h-ns	fimf	+	strong
crp	ugpe	+	strong
trpr	trpr	-	strong
hipb	hipb	-	strong
mata	flic	-	strong
arca	hyaf	+	strong
gadw	gadx	-	strong
crp	sgbe	-	strong
narp	ydhx	-	strong
phob	phnd	+	strong
nagc	nagb	-	strong
phop	hdeb	+	strong
lrp	lhgo	+	strong
ihf	sufe	+	strong
hu	galk	-	strong
cecr	ybhf	-	strong
nrdr	nrdb	-	strong
dica	ydfw	-	strong
fur	gspj	-	strong
h-ns	hdeb	-	strong
paax	paay	-	strong
mara	rob	-	strong
fur	sufd	-	strong
fis	rrsc	+	strong
nanr	yjhc	-	strong
fis	mara	+	strong
soxs	mara	+	strong
dpia	citx	+	strong
fis	ilev	+	strong
fis	ileu	+	strong
h-ns	cas2	-	strong
ntrc	glnh	-	strong
fadr	srod	-	strong
phop	trer	-	strong
phob	sbcd	-	strong
crp	araa	+	strong
h-ns	gspf	-	strong
h-ns	ydep	-	strong
pgrr	ycjf	-	strong
lsrr	lsrk	-	strong
crp	rsec	+	strong
fis	nrfa	-	strong
h-ns	nird	-	strong
cytr	udp	-	strong
lsrr	lsrr	-	strong
dnaa	dnan	+	strong
arca	hyac	+	strong
cecr	cecr	-	strong
hypt	meti	+	strong
narp	nrff	+	strong
h-ns	mdtf	-	strong
ular	ulad	-	strong
cpxr	yqja	+	strong
mlc	ptsh	-	strong
glpr	glpx	-	strong
crp	mcas	+	strong
hypt	metn	+	strong
mpra	mpra	-	strong
h-ns	casb	-	strong
mlra	csgg	+	strong
adiy	gadc	+	strong
ihf	hypd	+	strong
cytr	rpoh	-	strong
fis	nrfb	-	strong
trpr	mtr	-	strong
h-ns	casc	-	strong
cbl	ssud	+	strong
phob	cusa	+	strong
cecr	ybhs	-	strong
xylr	xylb	+	strong
fnr	nirc	+	strong
ihf	nird	+	strong
h-ns	yfae	-	strong
crp	hflx	-	strong
ihf	nark	+	strong
fadr	fadh	-	strong
narp	nrfe	+	strong
iscr	iscu	-	strong
dica	dicc	-	strong
mlra	rplu	+	strong
rcsb	osmc	+	strong
h-ns	gadw	-	strong
fliz	csgg	-	strong
fnr	hlye	+	strong
fur	oppb	-	strong
hipb	hipa	-	strong
mode	hyca	+	strong
dnaa	recf	-	strong
lrp	rrfb	-	strong
cpxr	rdoa	+	strong
h-ns	galm	-	strong
fhla	fdhf	+	strong
oxyr	oxys	+	strong
ihf	paaf	+	strong
lrp	fimd	+	strong
soxs	fpr	+	strong
flhdc	flis	+	strong
tyrr	tyrb	-	strong
kdpe	kdpc	+	strong
crp	crp	+	strong
h-ns	fimd	+	strong
ihf	paaj	+	strong
evga	gade	+	strong
crp	gadf	-	strong
adiy	gltf	+	strong
ydeo	appa	+	strong
crp	mety	-	strong
pdhr	cyoe	-	strong
iscr	ydiu	+	strong
torr	tnac	+	strong
phop	yhid	+	strong
fhla	hypa	+	strong
mngr	mngb	-	strong
rcsb	sra	+	strong
crp	rseb	+	strong
fliz	csgf	-	strong
ompr	csgf	+	strong
crp	sgbu	+	strong
caif	fixx	+	strong
sgrr	thiq	-	strong
ihf	gltb	+	strong
narl	hcp	+	strong
fur	gspo	-	strong
phob	phne_1	+	strong
ompr	pgab	-	strong
agar	agai	-	strong
nagc	nagc	-	strong
fadr	fadi	-	strong
galr	galk	+	strong
cysb	taub	+	strong
flhdc	flge	+	strong
