Official Symbol Interactor A	Official Symbol Interactor B
Ctnnb1	Cdh2
Ctnnb1	Ctnnd1
Ctnnd1	Ctnnb1
Set	Pygm
Set	Cct2
Set	Eif2s1
Set	Csnk2a1
Cdc27	Fzr1
Ash2l	Tbx1
Rnf2	Bmi1
Rnf2	Cbx8
Rnf2	Yaf2
Rnf2	Cbx3
Rnf2	Kdm2b
Rnf2	Bcor
Rnf2	Kdm1a
Rnf2	Skp1a
Rnf2	Csnk2a1
Kdm2b	Bcor
Kdm2b	Yaf2
Kdm2b	Csnk2a1
Kdm2b	Skp1a
Kdm2b	Cbx8
Kdm2b	Bmi1
Kdm2b	Ctbp1
Kdm2b	Ring1
Kdm2b	Cbx3
Kdm4c	Ar
Kdm1a	Kdm4c
Ar	Kdm4c
Arid1a	Smarca4
Arid1b	Smarca2
Arid1b	Smarca4
Nr0b2	Sirt1
Sirt1	Nr0b2
Grb10	Nedd4
Gm4275	Abt1
Sox2	Pou5f1
Sox15	Pou5f1
Pou5f1	Sox2
Pou5f1	Sox15
Cbx5	Chaf1a
Sox2	Hdac1
Nr0b2	Prmt5
Jun	Jun
Fosb	Mta1
Map3k7	Ikbkg
Ikbkg	Ubc
Traf6	Ikbkg
Fadd	Cflar
Fadd	Casp8
Btrc	Gli2
Zap70	Lck
Skil	Ubc
Smad2	Ubc
Nfe2l2	Ubc
Keap1	Nfe2l2
Rnf19a	Vcp
Rybp	Ring1
Rybp	Rnf2
Ikbkg	Ubc
Fbxl20	Rims1
Lyn	Pag1
Socs1	Pag1
Gsk3a	Ctnnd1
Gsk3b	Ctnnd1
Ctnnd1	Gsk3a
Ctnnd1	Gsk3b
Lck	Socs6
Ubc	Nfe2l2
Nfe2l2	Btrc
Btrc	Nfe2l2
Gsc	Wwp2
Ywhae	Usp8
Skp1a	Btrc
Btrc	Skp1a
Btrc	Cul1
Btrc	Nfkbia
Nfkbia	Btrc
Wwtr1	Nek1
Hsp90aa1	Ubc
Fancc	Gstp1
Gstp1	Fancc
Trim32	Pias4
Traf2	Ubc
Ripk1	Ubc
Stat1	Ubc
Egfr	Ubc
Tardbp	Ubc
Rela	Ubc
Ubc	Rela
Parp1	Ubc
Spem1	Ubqln1
Sqstm1	Cyld
Smarce1	Smarca4
Smarca4	Smarce1
Egfr	Ubc
Htra2	Birc3
Htra2	Csn2
AF366264	Trp53
AF366264	Mdm2
Mdm2	AF366264
Mdm2	Trp53
Mdm2	Sumo1
Trp53	Sumo1
Trp53	Mdm2
Trp53	AF366264
Zfp143	Pou5f1
Pou5f1	Zfp143
Rnf31	Rbck1
Rnf31	Sharpin
Rbck1	Rnf31
Sharpin	Rnf31
Stat1	Ubc
Ubc	Ncstn
Park2	Sh3gl2
Sh3gl2	Park2
Sh3gl3	Park2
Synj1	Sh3gl2
Synj1	Park2
Kmt2d	Rbbp5
Nfe2	Ash2l
Ash2l	Nfe2
Ash2l	Rbbp5
Gfi1b	Kdm1a
Gfi1b	Rcor2
Mta1	Rela
Tbp	Sp3
Yy1	Sp3
Myh3	Neurl2
Uhrf1	H3f3a
Tbrg1	Cdkn2a
Cdkn2a	Tbrg1
Nr5a1	Ppargc1a
Sftpc	Nedd4
Smad1	Ubc
Ikbkb	Nkx3-2
Nkx3-2	Ikbkb
Ikbkg	Ikbkb
Ikbkb	Ikbkg
Rbck1	Rnf31
Rbck1	Ikbkg
Rnf31	Rbck1
Rnf31	Ikbkg
Ikbkg	Rbck1
Ikbkg	Rnf31
Ikbkg	Ubc
Smarcb1	Gli1
Gli1	Smarcb1
Smad3	Ubc
Ubc	Smad3
Smad2	Ubc
Smad3	Smad4
Ubc	Pten
Xiap	Pten
Pten	Xiap
Tpt1	Ncl
Ywhae	Ndel1
Sra1	Traf6
Map3k7	Tab2
Map3k7	Tab3
Trim71	Ago2
Ago2	Trim71
Ago2	Ubc
Dmrt2	Hnrnpa1
Dmrt2	Hnrnpa2b1
