Official Symbol Interactor A	Official Symbol Interactor B
HDAC3	MAPK11
KAZN	PPL
AMFR	VCP
CCND3	EIF3K
HDAC1	PHF21A
HDAC2	PHF21A
RCOR1	PHF21A
KDM1A	PHF21A
HMG20B	PHF21A
PEBP4	RAF1
PEBP4	MAP2K1
RUNX2	HDAC3
BAIAP2	EPS8
CDC20	SPATC1
CASP9	XIAP
MAPK11	PML
APAF1	APIP
APAF1	CASP9
NEIL1	LIG3
LIG3	NEIL1
TSG101	LRSAM1
ITGB1	ITGA3
PARD6A	PRKCZ
PARD6A	ECT2
CDCA8	BIRC5
CDCA8	INCENP
AURKB	CDCA8
VPS37B	TSG101
VPS37A	VPS28
VPS37A	TSG101
VPS28	VPS37A
BCL2	SOD1
SOD1	BCL2
CD3EAP	POLR1C
POLR1E	POLR1C
POLR1E	CD3EAP
CD3EAP	POLR1E
POLR1E	POLR1A
CD3EAP	POLR1A
HBEGF	ZBTB16
VIMP	VCP
PRKCB	RASGRP3
PRKCD	RASGRP3
PML	MDM2
RPL11	PML
PML	MYB
PLXNA1	AKT1
TP53	EP300
MAPK1	SORBS3
NCOA3	ANKRD11
ANKRD11	NCOA3
ANKRD11	HDAC3
TXLNB	STX1A
SCP2	CAV1
ACD	POT1
NSD1	ZNF496
KHDRBS3	SIAH1
TXNL4B	PRPF6
INCA1	CCNA1
CCNA1	INCA1
CCNA1	GPS2
CCNA1	GNB2L1
CCNA1	PROCA1
CDK2	XRCC6
DNMT3B	KIF4A
DNMT3B	NCAPG
DNMT3B	SMC2
ARHGAP27	SH3KBP1
ANAPC10	SMAD2
ANAPC10	SMAD3
SMAD3	ANAPC10
SMAD3	NEDD9
PAX6	IPO13
CABP1	CACNA1C
CACNA1C	CABP1
RELA	PIAS3
ANKRD2	TCAP
ANKRD2	YBX1
PML	ANKRD2
TP53	ANKRD2
YBX1	TP53
TNNI3	TNNC1
SORBS2	PTK2B
NPC2	DHDDS
XRCC1	PCNA
XRCC1	POLB
PCNA	XRCC1
ZDHHC23	NOS1
POP1	POP4
POP4	POP1
POP7	RPP25
POP5	RPP25
POP1	RPP38
POP4	POP5
POP4	RPP38
RPP14	RPP30
RPP21	RPP40
RPP25	POP1
RPP25	POP4
RPP25	POP7
RPP38	POP4
MAPKAPK2	SHC1
DHX9	PRMT1
ANAPC5	PABPC1
WWC1	PRKCZ
PRKCZ	WWC1
SLC9A3R1	OPRK1
SLC9A3R1	SLC9A3R1
ARHGEF25	RHOA
RHOA	ARHGEF25
ND2	SRC
SAFB	TAF15
SAFB	ESR1
TRPV1	SYT9
TRPV1	SNAPIN
