Official Symbol Interactor A	Official Symbol Interactor B
Crebbp	Ap1b1
Crebbp	Trip10
Crebbp	Eif2b1
Crebbp	Sh3gl1
Zfand2a	Psma1
Zfand2a	Psmd1
Zfand2a	Psma1
Psmd4	Ubc
Hdac3	Emd
Esr1	Pgr
Nbr1	Map1b
Chuk	Nfkbib
Eya1	Sox2
Six1	Sox2
Myod1	Mybbp1a
Myod1	Mybbp1a
Srebf1	Zbtb7c
Zbtb7c	Srebf1
Runx1	Cbfb
Runx1	Bmi1
Cdk4	Rb1
Cdk1	Hist1h1a
Vps36	Ubc
Vps36	Ubc
Poli	Ubc
Poli	Ubc
Ccna2	Cdk1
Ccne1	Cdk2
Cdk2	Hist1h1a
Mysm1	Smarca4
Mysm1	Smarca2
Pou5f1	Rnf2
Pou5f1	Supt16
Pou5f1	Ssrp1
Pou5f1	Msh2
Pou5f1	Msh6
Pou5f1	Ppp1cc
Pou5f1	Zmym2
Pou5f1	Kif11
Pou5f1	Arid3b
Thrb	Setdb1
Cops2	Setdb1
Setdb1	Cops2
Setdb1	Thrb
Cdk4	Cebpa
Src	Cbl
Zap70	Slc4a1
Src	Cbl
Src	Eno1
Src	Eno1
Zap70	Slc4a1
Rad21	Pou5f1
Csf1r	Pik3r1
Chuk	Nfkbib
Ikbkb	Nfkbib
Il17ra	Traf3ip2
Sqstm1	Sod1
Cops5	Cdkn1b
Cdkn1b	Cops5
Map1lc3a	Sqstm1
Fbxo2	Skp1a
Rnf41	Myd88
Rnf41	Tbk1
Nfe2l2	Keap1
Nfe2l2	Keap1
Keap1	Keap1
Fbxl2	Ccnd3
Siah1a	Aff4
Siah1a	Aff2
Socs1	Jak1
Tbk1	Irf3
Tbk1	Optn
Ikbkb	Nfkbia
Cacybp	Skp1a
Sqstm1	Map1lc3a
Map1lc3a	Sqstm1
Map1lc3a	Sqstm1
Gabra1	Usp14
Gabra1	Usp14
Gabra1	Usp14
Siah1a	Gapdh
Neurl1a	Dll1
Neurl1a	Dll4
Csnk1e	Ctnnb1
Keap1	Nfe2l2
Mapk8	Jun
Cdkn2a	Mdm2
Mdm2	Cdkn2a
Cdkn2a	Mdm2
Nfatc2ip	Ube2i
Traf6	Arrb2
Src	Khdrbs1
Ube2i	Uimc1
Nedd4	Ndfip1
Ndfip1	Nedd4
Ubc	Vcp
Adrbk1	Nedd4
Adrbk1	Nedd4l
Trp53	Skil
Trp53	Mdm2
Ube2i	Irf1
Sumo1	Irf1
Ube2i	Irf1
Rnf6	Limk1
Rnf6	Limk1
Nedd4	Scnn1a
Nedd4	Scnn1b
Nedd4	Scnn1g
Gps1	Cops8
Mdm2	Mdm4
Trim28	Cbx5
Trim28	Cbx1
Trim28	Cbx3
Trim24	Cbx5
Trim24	Cbx1
