Source	Target
IL1DR 	 dBWMR1        
IL1DR 	 dBWMR2        
IL1DR 	 dBWMR3        
IL1L 	 IL2L          
IL1L 	 OLLL          
IL1L 	 RMGL          
IL1L 	 URBL          
IL1L 	 AVER          
IL1L 	 RMDDL         
IL1L 	 RMDL          
IL1L 	 RMDR          
IL1L 	 RMDVL         
IL1L 	 RMDVR         
IL1L 	 RMER          
IL1L 	 URAVL         
IL1L 	 dBWML3        
IL1L 	 dBWML4        
IL1L 	 dBWML5        
IL1L 	 vBWML1        
IL1L 	 vBWML2        
IL1L 	 vBWML4        
IL1R 	 OLLR          
IL1R 	 URXR          
IL1R 	 AVEL          
IL1R 	 AVER          
IL1R 	 RMDDL         
IL1R 	 RMDDR         
IL1R 	 RMDL          
IL1R 	 RMDR          
IL1R 	 RMDVL         
IL1R 	 RMDVR         
IL1R 	 RMEL          
IL1R 	 RMHL          
IL1R 	 dBWMR3        
IL1R 	 dBWMR4        
IL1R 	 dBWMR5        
IL1R 	 vBWMR4        
IL1VL 	 IL1L          
IL1VL 	 IL1VL         
IL1VL 	 OLQVL         
IL1VL 	 URYVL         
IL1VL 	 RIPL          
IL1VL 	 AVL           
IL1VL 	 RMDDL         
IL1VL 	 RMDVR         
IL1VL 	 RMHL          
IL1VL 	 URAVL         
IL1VL 	 vBWML1        
IL1VL 	 vBWML2        
IL1VR 	 IL1R          
IL1VR 	 IL2VR         
IL1VR 	 OLQVR         
IL1VR 	 OLLR          
IL1VR 	 RIPR          
IL1VR 	 RMDDR         
IL1VR 	 RMDVL         
IL1VR 	 URAVR         
IL1VR 	 vBWMR2        
IL1VR 	 vBWMR4        
IL2DL 	 IL1DL         
IL2DL 	 IL2DL         
IL2DL 	 OLQDL         
IL2DL 	 AUAL          
IL2DL 	 RIBL          
IL2DL 	 RIH           
IL2DL 	 RIPL          
IL2DL 	 AVBR          
IL2DL 	 RMED          
IL2DL 	 RMEL          
IL2DL 	 RMER          
IL2DL 	 RMEV          
IL2DL 	 RMHL          
IL2DL 	 URADL         
IL2DR 	 IL1DR         
IL2DR 	 OLQDR         
IL2DR 	 CEPDR         
IL2DR 	 RICL          
IL2DR 	 RICR          
IL2DR 	 RIPL          
IL2DR 	 RIPR          
IL2DR 	 RMED          
IL2DR 	 RMEL          
IL2DR 	 RMER          
IL2DR 	 RMEV          
IL2DR 	 URADR         
IL2L 	 IL1L          
IL2L 	 OLQDL         
IL2L 	 OLQVL         
IL2L 	 URXL          
IL2L 	 ADEL          
IL2L 	 RICL          
IL2L 	 RIH           
IL2L 	 AVEL          
IL2L 	 RMDL          
IL2L 	 RMDR          
IL2L 	 RMER          
IL2L 	 RMEV          
IL2L 	 URAVL         
IL2R 	 IL1R          
IL2R 	 OLQDR         
IL2R 	 OLQVR         
IL2R 	 OLLR          
IL2R 	 URXR          
IL2R 	 ADER          
IL2R 	 RIH           
IL2R 	 RMGR          
IL2R 	 URBR          
IL2R 	 AVER          
IL2R 	 RMDL          
IL2R 	 RMEL          
IL2R 	 RMEV          
IL2R 	 URADR         
IL2R 	 URAVR         
IL2VL 	 IL1VL         
IL2VL 	 IL2L          
IL2VL 	 OLQVL         
IL2VL 	 BAGR          
IL2VL 	 RIAL          
IL2VL 	 RIH           
IL2VL 	 RIPL          
IL2VL 	 DVC           
IL2VL 	 RMEL          
IL2VL 	 RMER          
