Official Symbol Interactor A	Official Symbol Interactor B
LHX2	CITED2
E2F6	RYBP
POLE2	SAP18
BTG1	PRMT1
BTG1	PRMT1
ENAH	ABI1
NEDD9	SMAD3
RNF7	CUL1
SRRM2	PNN
MCL1	BAD
DAXX	MCRS1
MVD	BTAF1
FANCA	SMARCA4
ARHGEF7	SHANK2
FNBP1	TNKS
BIRC5	AURKB
TNFRSF25	TRADD
RIPK3	RIPK1
MALT1	BCL10
C9orf89	BCL10
AP1S1	AP1G1
AP1S2	AP1G1
AP1S2	AP1G2
VAMP4	AP1M1
MBD2	GPN1
MBD3L1	MBD3
UBOX5	UBE2L3
PDZK1	SLC22A4
PDZK1	AKAP10
PDZK1IP1	PDZK1
PDZK1IP1	PDZK1
PDZK1	SLC22A12
DNM1L	GSK3B
HEXIM1	CCNT2
RNF7	CUL4A
RNF7	CUL2
RAB27A	SYTL4
BYSL	TROAP
RGS6	DMAP1
ZNF174	ZNF174
PLCB2	TRPM7
PKP4	ERBB2IP
ARHGEF11	PLXNB2
COPG1	COPG2
VPS37C	HGS
GNA13	AKAP3
GRAP2	GAB1
GRAP2	CCNDBP1
ANAPC5	PABPC1
TOM1	TOLLIP
TTF2	CLPB
STK16	NAGK
NCKAP1	ABI1
GADD45G	GADD45GIP1
PACSIN2	PACSIN3
UNC13B	SPTBN2
KCNJ1	SLC9A3R1
ARHGEF7	SHANK1
NBL1	UBQLN1
UBQLN1	P4HB
TARBP2	TARBP2
EEA1	RAB22A
URI1	DMAP1
CNKSR1	RASSF1
PARP4	MVP
PARP4	MVP
EED	HDAC2
DISC1	FEZ1
SNX9	ADAM15
RAB11FIP4	RAB11A
RHOQ	GOPC
RHOQ	EXOC7
PINX1	MCRS1
PRDX4	PRDX4
PACSIN1	PACSIN3
PACSIN1	PACSIN1
TXNIP	ZBTB32
CSPG5	GOPC
ASIC3	GOPC
HSH2D	TNK2
IPO13	PAX6
PLCB1	TRPM7
ORC6	CDC7
AP4E1	AP4B1
CENPK	SOX6
LSM1	LSM2
LSM2	LSM8
LSM2	LSM3
LSM2	LSM7
LSM3	LSM7
LSM3	LSM10
AIRE	AIRE
ECT2	PARD6A
HSPB8	HSPB1
THEG	CCT5
PPFIA1	GIT1
RARA	ZBTB16
UFD1L	NPLOC4
TRIB3	ATF4
THRB	NCOA2
GFI1	PIAS3
NEDD9	ITCH
TGS1	EED
MYCBP	MYCBPAP
LOXL1	FBLN5
MT2A	PRKD1
SRC	ND2
RNF11	EPS15
KCNJ1	SLC9A3R2
DIO2	USP33
TOPORS	UBE2I
PER1	CRY1
PER2	CRY1
ARNTL	CRY1
THAP1	PAWR
SERBP1	CHD3
HSF1	SYMPK
DTNB	KIF5A
MCM4	CDC7
GNB2L1	NSMAF
RBBP8	LMO4
CCNE1	CUL3
FKBP2	EPB41L2
GRIA1	EPB41L2
PDZD2	CTNND2
GNG3	GNB5
GNB5	GNG7
PIKFYVE	RABEPK
SORT1	GGA2
EXOSC6	EXOSC8
EXOSC6	EXOSC7
ZNF496	NSD1
PUM2	NANOS1
POLR1C	POLR1D
SYNE1	SYNE1
ING4	RELA
COPG1	COPZ1
COPG1	COPZ2
LRRC7	CNKSR2
EXOC8	EXOC2
ASIC3	LIN7B
TCP10L	MXD4
RND1	UBXN11
ZHX1	ZHX3
MAPKAPK2	PHC2
CDC7	DBF4
ARPC5	ARPC4
CDC7	DBF4
ZHX1	ZHX1
PHACTR3	PPP1CA
ARID1B	SMARCA4
PRPF6	TXNL4B
PPFIA1	ERC2
ERC2	PPFIA4
EVL	DNMBP
VPS37A	VPS28
PKD2L1	TNNI3
TNNI3K	TNNI3
ECT2	KLHL20
TAF13	TAF10
