source	target
ZNF143	RP11-91I20
SMARCB1	RP1-266L20
RAD21	RP5-1177I5
EBF1	AC012146
TAL1	RP11-21N7
CHD2	RP11-110G21
PAX5	VAULT
CTCF	CTC-463N11
USF1	NCRNA00118
JUN	RP3-471M13
SIN3A	KB-431C1
SMARCB1	RP11-142L1
BCL3	RP11-459F3
PAX5	RP11-77P6
GATA1	RP11-553K8
EP300	AC093495
SIX5	RP11-455B2
TCF4	ST7OT1
SP1	RP11-306I1
MAFF	AP001043
MAX	RP11-197N18
ZBTB7A	RP11-351A11
FOS	AL132780
YY1	AC010547
EGR1	RP11-363J17
TAF1	RP11-30E17
MAX	RP11-10A14
RXRA	RP4-669P10
E2F1	AC079305
MAX	RP11-767C1
GATA2	RP11-760M1
BCL3	SNHG9
ETS1	AC004009
SMARCB1	RP11-522N14
TRIM28	AL121578
TCF4	CTB-35F21
ZBTB33	RP11-21N7
BCL3	MIR497HG
MAX	RP11-191G24
FOSL2	AL121578
POU2F2	AC142528
GATA1	NCRNA00167
FOSL1	RP11-820K3
IRF1	AC108488
TBP	AC026469
HNF4A	AC008440
CEBPB	RP11-84A19
HDAC2	AC083843
RAD21	RP5-884C9
PAX5	RP1-62D2
HDAC2	RP11-552D8
CEBPB	RP5-1091N2
MAFK	U4
ESR1	AC020926
MYC	RP11-131N11
FOSL2	RP11-455B2
STAT3	SNORA62
TCF4	RP5-1112D6
TBP	SEC22B
CEBPB	RP11-154D6
CTCFL	AC004053
GATA2	RP11-148K1
MAX	RP11-475N22
EP300	RN7SK
ZNF263	RP11-97E7
CEBPB	AL445204
JUN	RP11-366F6
MAX	CTD-2384B11
GATA2	RP11-867G23
ETS1	RP11-92G12
GTF2F1	CTA-292E10
ETS1	MIR17HG
CEBPB	RP11-119F7
MAFK	SNORA11
EP300	RP3-486L4
YY1	RP11-197P3
EBF1	EGOT
JUND	AC009495
TAL1	AP003498
NRF1	RP4-758J18
STAT3	RP11-779O18
RAD21	RP11-261E12
FOSL2	NCRNA00287
CTCF	RP11-1060J15
FOXA1	RP4-773A18
TCF12	RP11-447D11
FOXA2	AC096649
RXRA	RP11-71H17
MAFK	RNU1-5
SIX5	RP11-297K8
EGR1	NCRNA00240
FOS	CTB-113P19
YY1	AC010327
E2F1	RP11-325F22
ELF1	RP11-847H18
HDAC2	AC007395
SMARCB1	RP11-501I19
MAX	NCRNA00188
IRF1	CTA-397H3
CEBPB	AP000640
POU2F2	RP11-227H4
TFAP2A	RP11-192K2
HDAC2	AP000318
GATA3	RP11-50E11
GATA3	RP11-314M24
NFYA	RP13-895J2
ELF1	RP4-633O19__A
MYC	AC079742
SUZ12	AC092669
BATF	RP11-386D6
SMARCB1	RP11-98D18
SMARCC1	AC093732
