
WARNING from init.py: found (and ignored) 31 duplicate edges, here is some of them: 

Egfr                     drk                      
Sos                      drk                      
CkIalpha                 arm                      
CkIalpha                 ci                       
tim                      sgg                      
================================================== NH_Vinayagam.txt ==================================================
alive 3218      dead 134       maxd 11        mind 3         Hub deg 11        no. Leafs 2198      swapped 11 (in) 0 (out)
alive 3217      dead 135       maxd 11        mind 2         Hub deg 11        no. Leafs 2         swapped 1 (in) 0 (out)
alive 3217      dead 135       maxd 11        mind 3         Hub deg 11        no. Leafs 2179      swapped 11 (in) 0 (out)
alive 3216      dead 136       maxd 11        mind 2         Hub deg 11        no. Leafs 5         swapped 2 (in) 1 (out)
alive 3216      dead 136       maxd 11        mind 2         Hub deg 11        no. Leafs 3         swapped 1 (in) 1 (out)
alive 3216      dead 136       maxd 11        mind 3         Hub deg 11        no. Leafs 2156      swapped 11 (in) 0 (out)
alive 3215      dead 137       maxd 11        mind 2         Hub deg 11        no. Leafs 4         swapped 2 (in) 0 (out)
alive 3215      dead 137       maxd 11        mind 2         Hub deg 11        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3215      dead 137       maxd 11        mind 2         Hub deg 11        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3215      dead 137       maxd 11        mind 3         Hub deg 11        no. Leafs 2134      swapped 11 (in) 0 (out)
alive 3214      dead 138       maxd 11        mind 2         Hub deg 11        no. Leafs 6         swapped 3 (in) 0 (out)
alive 3214      dead 138       maxd 11        mind 2         Hub deg 11        no. Leafs 3         swapped 1 (in) 1 (out)
alive 3214      dead 138       maxd 11        mind 2         Hub deg 11        no. Leafs 2         swapped 1 (in) 0 (out)
alive 3214      dead 138       maxd 11        mind 2         Hub deg 11        no. Leafs 2         swapped 1 (in) 0 (out)
alive 3214      dead 138       maxd 11        mind 3         Hub deg 11        no. Leafs 2114      swapped 11 (in) 0 (out)
alive 3213      dead 139       maxd 11        mind 2         Hub deg 11        no. Leafs 3         swapped 1 (in) 1 (out)
alive 3213      dead 139       maxd 11        mind 2         Hub deg 11        no. Leafs 2         swapped 1 (in) 0 (out)
alive 3213      dead 139       maxd 11        mind 3         Hub deg 11        no. Leafs 2091      swapped 11 (in) 0 (out)
alive 3212      dead 140       maxd 11        mind 2         Hub deg 11        no. Leafs 2         swapped 1 (in) 0 (out)
alive 3212      dead 140       maxd 11        mind 3         Hub deg 11        no. Leafs 2070      swapped 11 (in) 0 (out)
alive 3211      dead 141       maxd 11        mind 2         Hub deg 11        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3211      dead 141       maxd 11        mind 3         Hub deg 11        no. Leafs 2048      swapped 11 (in) 0 (out)
alive 3210      dead 142       maxd 11        mind 2         Hub deg 11        no. Leafs 5         swapped 2 (in) 1 (out)
alive 3210      dead 142       maxd 11        mind 2         Hub deg 11        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3210      dead 142       maxd 11        mind 3         Hub deg 11        no. Leafs 2029      swapped 11 (in) 0 (out)
alive 3209      dead 143       maxd 11        mind 2         Hub deg 11        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3209      dead 143       maxd 10        mind 2         Hub deg 10        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3209      dead 143       maxd 10        mind 3         Hub deg 10        no. Leafs 2011      swapped 10 (in) 0 (out)
alive 3208      dead 144       maxd 10        mind 2         Hub deg 10        no. Leafs 6         swapped 3 (in) 0 (out)
alive 3208      dead 144       maxd 10        mind 3         Hub deg 10        no. Leafs 1993      swapped 10 (in) 0 (out)
alive 3207      dead 145       maxd 10        mind 2         Hub deg 10        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3207      dead 145       maxd 10        mind 2         Hub deg 10        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3207      dead 145       maxd 10        mind 2         Hub deg 10        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3207      dead 145       maxd 10        mind 3         Hub deg 10        no. Leafs 1970      swapped 10 (in) 0 (out)
alive 3206      dead 146       maxd 10        mind 2         Hub deg 10        no. Leafs 5         swapped 2 (in) 1 (out)
alive 3206      dead 146       maxd 10        mind 2         Hub deg 10        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3206      dead 146       maxd 10        mind 2         Hub deg 10        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3206      dead 146       maxd 10        mind 3         Hub deg 10        no. Leafs 1955      swapped 10 (in) 0 (out)
alive 3205      dead 147       maxd 10        mind 2         Hub deg 10        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3205      dead 147       maxd 10        mind 3         Hub deg 10        no. Leafs 1939      swapped 10 (in) 0 (out)
alive 3204      dead 148       maxd 10        mind 3         Hub deg 10        no. Leafs 1923      swapped 10 (in) 0 (out)
alive 3203      dead 149       maxd 10        mind 2         Hub deg 10        no. Leafs 6         swapped 3 (in) 0 (out)
alive 3203      dead 149       maxd 10        mind 3         Hub deg 10        no. Leafs 1907      swapped 10 (in) 0 (out)
alive 3202      dead 150       maxd 10        mind 2         Hub deg 10        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3202      dead 150       maxd 10        mind 3         Hub deg 10        no. Leafs 1888      swapped 10 (in) 0 (out)
alive 3201      dead 151       maxd 10        mind 2         Hub deg 10        no. Leafs 8         swapped 4 (in) 0 (out)
alive 3201      dead 151       maxd 10        mind 2         Hub deg 10        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3201      dead 151       maxd 10        mind 3         Hub deg 10        no. Leafs 1870      swapped 10 (in) 0 (out)
alive 3200      dead 152       maxd 10        mind 2         Hub deg 10        no. Leafs 4         swapped 2 (in) 0 (out)
alive 3200      dead 152       maxd 10        mind 2         Hub deg 10        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3200      dead 152       maxd 10        mind 3         Hub deg 10        no. Leafs 1850      swapped 10 (in) 0 (out)
