
WARNING from init.py: found 154 self-loops, here is one of them: ('JW3352', 'JW3352')

================================================== NH_Bacteria.txt ==================================================
alive 973       dead 41        maxd 9         mind 3         Hub deg 9         no. Leafs 252       swapped 8 (in) 0 (out)
alive 972       dead 42        maxd 9         mind 2         Hub deg 9         no. Leafs 3         swapped 1 (in) 1 (out)
alive 972       dead 42        maxd 9         mind 3         Hub deg 9         no. Leafs 240       swapped 8 (in) 0 (out)
alive 971       dead 43        maxd 9         mind 2         Hub deg 9         no. Leafs 2         swapped 1 (in) 0 (out)
alive 971       dead 43        maxd 9         mind 3         Hub deg 9         no. Leafs 228       swapped 9 (in) 0 (out)
alive 970       dead 44        maxd 9         mind 2         Hub deg 9         no. Leafs 1         swapped 0 (in) 1 (out)
alive 970       dead 44        maxd 9         mind 3         Hub deg 9         no. Leafs 214       swapped 9 (in) 0 (out)
alive 969       dead 45        maxd 9         mind 3         Hub deg 9         no. Leafs 201       swapped 8 (in) 0 (out)
alive 968       dead 46        maxd 9         mind 2         Hub deg 9         no. Leafs 1         swapped 0 (in) 1 (out)
alive 968       dead 46        maxd 9         mind 3         Hub deg 9         no. Leafs 191       swapped 9 (in) 0 (out)
alive 967       dead 47        maxd 8         mind 3         Hub deg 8         no. Leafs 182       swapped 8 (in) 0 (out)
alive 966       dead 48        maxd 8         mind 2         Hub deg 8         no. Leafs 2         swapped 1 (in) 0 (out)
alive 966       dead 48        maxd 8         mind 3         Hub deg 8         no. Leafs 172       swapped 7 (in) 0 (out)
alive 965       dead 49        maxd 8         mind 2         Hub deg 8         no. Leafs 1         swapped 0 (in) 1 (out)
alive 965       dead 49        maxd 8         mind 3         Hub deg 8         no. Leafs 160       swapped 8 (in) 0 (out)
alive 964       dead 50        maxd 8         mind 2         Hub deg 8         no. Leafs 1         swapped 0 (in) 1 (out)
alive 964       dead 50        maxd 8         mind 3         Hub deg 8         no. Leafs 150       swapped 8 (in) 0 (out)
alive 963       dead 51        maxd 8         mind 2         Hub deg 8         no. Leafs 1         swapped 0 (in) 1 (out)
alive 963       dead 51        maxd 8         mind 3         Hub deg 8         no. Leafs 140       swapped 7 (in) 0 (out)
alive 962       dead 52        maxd 8         mind 2         Hub deg 8         no. Leafs 1         swapped 0 (in) 1 (out)
alive 962       dead 52        maxd 8         mind 3         Hub deg 8         no. Leafs 130       swapped 7 (in) 0 (out)
alive 961       dead 53        maxd 8         mind 3         Hub deg 8         no. Leafs 120       swapped 8 (in) 0 (out)
alive 960       dead 54        maxd 8         mind 2         Hub deg 8         no. Leafs 1         swapped 0 (in) 1 (out)
alive 960       dead 54        maxd 8         mind 3         Hub deg 8         no. Leafs 111       swapped 7 (in) 0 (out)
alive 959       dead 55        maxd 8         mind 3         Hub deg 8         no. Leafs 101       swapped 8 (in) 0 (out)
alive 958       dead 56        maxd 8         mind 2         Hub deg 8         no. Leafs 3         swapped 1 (in) 1 (out)
