Official Symbol Interactor A	Official Symbol Interactor B
msd5	dgt6
wac	dgt6
msd1	dgt6
dgt2	dgt5
dgt2	dgt6
dgt2	dgt3
dgt2	msd1
dgt2	dgt4
dgt2	msd5
dgt2	wac
msl-3	msl-1
msl-1	mof
nsl1	MBD-R2
nsl1	mof
slmb	skpA
Prosalpha7	Prosalpha6
Syx1A	Snap29
cpb	cpa
Syb	Snap29
Syb	Snap24
CG7770	CG7048
CG15717	CG8525
Vamp7	Snap29
CG12171	CG31549
Syb	Syx1A
rept	pont
Khc	Klc
Fer2LCH	Fer1HCH
Atg5	Atg16
Rpn2	Rpn13
CG6145	CG33156
Syx1A	Vamp7
Gclc	Gclm
CkIIalpha	CkIIbeta
Snap29	alphaSnap
Lam	Ote
sgg	CG11523
01-Sep	02-Sep
CG10306	CG5642
mor	Bap60
Tango7	CG9769
Arpc5	Arpc4
Mfap1	Prp38
wac	dgt6
RPA3	RPA2
msd5	dgt6
Syx1A	alphaSnap
Snr1	Bap60
mor	Snr1
Nat1	CG9922
CG1513	CG9205
msd1	dgt6
wdb	Pp2A-29B
Uch-L5	Rpn13
Pp1-87B	I-2
dgt2	wac
mago	tsu
cdc2	Cks85A
dnk	fal
noi	CG16941
cdc2	Cks30A
dgt2	msd5
Rpn8	Rpn11
CG1104	CG5862
UbcD4	CG32486
dgt2	dgt6
MED11	MED17
Rpn5	Rpn9
Snx1	Snx6
l(2)gl	par-6
dgt2	dgt5
betaggt-II	CG12007
D12	Ada2a
TSG101	Vps37B
EloC	EloB
cdc2	CycB3
D12	Mocs2
dgt2	msd1
Pex5	Pex14
MED6	MED17
MAPk-Ak2	p38b
Rpn8	Rpn6
skpA	Fsn
Rpn6	Rpn9
NC2beta	Mocs2
Nlp	CG7911
Vps28	TSG101
Vps24	shrb
CycA	cdc2
MED6	MED11
Clc	CG11882
CycA	rux
D12	NC2beta
Mocs2	Ada2a
CG11652	CG7265
Vap-33A	CG1513
Rpn7	Rpn6
CG11885	CG13319
Ibf2	Ibf1
dgt2	dgt3
CG14232	CG9356
MED30	MED17
CG9596	CG14544
D12	Sgf29
Vps24	Vps2
NC2beta	Ada2a
brm	mor
CG10158	CG17494
TfIIEalpha	TfIIEbeta
flw	Pp1-87B
Rpd3	Sin3A
Vps4	CG10103
ix	MED10
Rrp42	Mtr3
l(3)j2D3	ssp
Atac1	Mocs2
D12	Chrac-14
D12	Atac1
Rrp4	Mtr3
Chrac-14	Sgf29
dgt4	dgt2
dgt4	dgt6
MED20	MED18
D12	Hcf
CG3501	CG3678
MBD-like	MTA1-like
Mocs2	Sgf29
Mcm5	CG3430
brm	Bap60
mbo	Nup62
Ssdp	Chi
msps	CG10164
bur	Usp7
Rpn6	Rpn5
CG2021	CG10418
ird5	key
Jra	kay
Cdk9	CycT
mor	dalao
Hcf	Chrac-14
Chrac-14	Ada2a
D12	Atac2
Vha26	VhaSFD
MED6	MED30
Iap2	Jafrac2
CG13001	CG4813
skpB	Fsn
Cdc5	BCAS2
Chc	CG11882
CG7185	CG3689
Gcn5	Ada2a
Syx4	Snap24
CG10949	CG6683
Smn	Gem2
Syx4	Snap29
MED20	MED17
Ptp61F	dock
Mocs2	Chrac-14
EloC	Socs44A
Atac2	Mocs2
Hcf	Ada2a
Map205	PGRP-LE
l(2)k01209	CG5537
Ufd1-like	Npl4
Atac1	Chrac-14
Atac2	Sgf29
Atac1	Atac2
Mocs2	Hcf
brm	Snr1
Rme-8	Vamp7
Ocrl	CG12393
MED20	MED6
Atac1	Ada2a
PAN2	CG11486
Su(var)205	HP5
cdc2c	CycE
CG6617	CG7611
Zn72D	CG5641
Atac2	Chrac-14
MED20	MED11
MED6	MED4
skpB	CG7148
tacc	msps
Gcn5	Atac2
CG8142	RfC3
CG9344	CG6610
unk	hdc
RfC3	RfC4
Aats-asp	CG12304
RtGEF	Git
Atac2	Ada2a
skpA	CG13085
Atac2	Hcf
CG4709	Prp3
Ciao1	CG7949
Rpd3	MBD-like
Galphao	raps
MED20	MED30
Csl4	Mtr3
Pp1-87B	CG12620
Atac2	wds
Csl4	Rrp4
trsn	Trax
Sap130	CG7379
CSN4	CSN7
CkIIalpha	CkIIbeta2
crn	Bx42
rib	lolal
CSN4	CSN6
D12	wds
Rrp4	Rrp6
Pen	Nup50
Trf	Brf
Syx16	alphaSnap
dup	geminin
dik	Atac2
dik	Mocs2
Hcf	wds
mts	MRG15
NC2beta	Atac2
mxt	eIF4E-5
brm	Bap55
vir	Hakai
wds	Sgf29
D12	dik
CG14464	egg
CycA	fzy
skpA	morgue
RnpS1	Acn
wde	egg
dik	Chrac-14
Nup214	mbo
ken	lolal
skpA	CG7148
MED17	MED22
EloC	Rab40
CtBP	CTPsyn
ctp	insv
cos	fu
KrT95D	CG12333
CG6767	CG2246
sip2	CG5043
sim	tgo
CG15440	CG1646
CG7139	CG15435
alien	CSN7
hk	CG14556
fl(2)d	vir
mri	CG4854
WASp	Vrp1
Gem3	Smn
Mhcl	ssp
Chrac-16	Chrac-14
EloC	gus
CG17494	hpo
Kdm4A	Su(var)205
Kdm4A	Su(var)205
Su(var)205	Kdm4A
Mocs2	Mocs2
Atac2	Mocs2
Ada2a	Mocs2
Chrac-14	Mocs2
D12	Mocs2
Mocs2	Atac1
Atac2	Atac1
Ada2a	Atac1
Chrac-14	Atac1
D12	Atac1
Mocs2	dik
Atac2	dik
Ada2a	dik
Chrac-14	dik
D12	dik
Mocs2	Ada2a
Atac2	Ada2a
Chrac-14	Ada2a
D12	Ada2a
Mocs2	Hcf
Atac2	Hcf
Ada2a	Hcf
Chrac-14	Hcf
wds	Hcf
D12	Hcf
Mocs2	D12
Atac2	D12
Ada2a	D12
Chrac-14	D12
wds	D12
Mocs2	Sgf29
Atac2	Sgf29
Chrac-14	Sgf29
wds	Sgf29
D12	Sgf29
Mocs2	Atac2
Atac2	Atac2
Ada2a	Atac2
Chrac-14	Atac2
wds	Atac2
D12	Atac2
Mocs2	Atac3
Atac2	Atac3
Ada2a	Atac3
Mocs2	NC2beta
Atac2	NC2beta
Ada2a	NC2beta
D12	NC2beta
Atac2	wds
Ada2a	wds
D12	wds
Mocs2	Jra
Atac2	Jra
Mocs2	msn
Atac2	msn
Jra	Atac2
Jra	Mocs2
msn	Atac2
msn	Mocs2
Acf1	Iswi
Snr1	brm
msl-3	msl-1
trr	EcR
MBD-like	Rpd3
MBD-like	Mi-2
MBD-like	MTA1-like
Trf2	Iswi
Trf2	Dref
Trf2	Caf1
Dref	Iswi
Dref	Caf1
Dref	Iswi
Dref	Trf2
Dref	Caf1
E(bx)	Caf1
E(bx)	Nurf-38
esc	Su(z)12
esc	E(z)
esc	Caf1
esc	esc
Su(z)12	E(z)
Su(z)12	esc
Su(z)12	E(z)
E(z)	Su(z)12
E(z)	E(z)
CycA	rux
CycA	rux
CycE	cdc2c
CycA	cdc2
Sin3A	Rpd3
CtBP	h
Ubqn	Rpn10
Rad23	Rpn10
Rad23	Rpn10
Ubqn	Rpn10
Ubqn	Rpn10
Rpn10	Ubqn
Rpn10	smt3
Rpn10	Hsp83
Rpn10	lwr
Rpn10	smt3
lwr	Rpn10
smt3	Rpn10
Hsp83	Rpn10
Trc8	CSN5
Trc8	CSN5
cid	ppa
cid	ppa
ppa	cid
Rpn6	Rpn5
Rpn6	Rpn7
Rpn6	Rpn8
Rpn6	Rpn9
Acn	RnpS1
Acn	Bin1
Acn	RnpS1
Acn	Bin1
Atac2	Mocs2
Ada2a	Mocs2
Ada2a	Chrac-14
Ada2a	Atac1
Ada2a	Gcn5
Ada2a	D12
Ada2a	Atac2
Ada2a	Atac3
Ada2a	dik
Ada2a	NC2beta
Ada2a	Hcf
Ada2a	wds
Atac2	Mocs2
Atac2	Ada2a
Atac2	Chrac-14
Atac2	Atac1
Atac2	Gcn5
Atac2	D12
Atac2	Atac2
Atac2	Atac3
Atac2	dik
Atac2	NC2beta
Atac2	Hcf
Atac2	wds
Atac3	Mocs2
Ada2a	Mocs2
NC2beta	Mocs2
Chrac-14	Mocs2
Sgf29	Mocs2
CG13090	Mocs2
Mocs2	CG13090
Mocs2	Mocs2
Tab2	Tak1
Tak1	Tab2
gw	pAbp
pAbp	gw
Cbl	drk
CycG	cdc2c
cdc2c	CycG
Cdk4	CycG
CycG	Cdk4
APP-BP1	Uba3
SAK	slmb
SAK	slmb
slmb	SAK
slmb	skpA
Cks30A	cdc2
Cks85A	cdc2
Cks85A	Skp2
Cks85A	cdc2c
Skp2	skpA
sina	phyl
sina	ttk
phyl	sina
ttk	sina
ttk	phyl
ttk	phyl
sina	phyl
sina	ttk
UbcD10	ari-2
neur	Tom
neur	Tom
neur	Dl
Cul1	Nedd8
lid	dm
dm	lid
dm	lid
Hsp23	lwr
Hsp27	lwr
p53	lwr
lwr	Hsp23
lwr	Hsp27
th	Ice
mus312	mei-9
gro	pan
Lrrk	Thor
Lrrk	Thor
Lrrk	Thor
Pink1	Miro
Miro	Pink1
Pink1	Miro
Marf	park
msl-2	msl-2
msl-2	msl-1
msl-1	msl-1
msl-1	msl-3
msl-1	mof
msl-1	msl-2
msl-2	msl-2
msl-2	msl-1
msl-2	mof
inc	inc
park	Marf
Nipped-B	CG4203
cic	rl
cic	rl
gus	vas
gus	vas
ik2	th
th	ik2
ik2	th
p53	RpS27A
Cbl	Egfr
PI31	Tnks
Tnks	PI31
Skp2	skpA
skpA	Skp2
Cul3	rdx
slmb	skpA
slmb	SAK
SAK	slmb
SAK	RpS27A
Smyd4	Rpd3
Smyd4	Hdac3
Smyd4	Rpd3
Smyd4	Hdac3
ntc	PI31
krz	dx
dx	krz
dx	krz
sina	phyl
PGRP-LE	PGRP-LE
PGRP-LE	Map205
key	ird5
ird5	key
ird5	cact
ird5	smt3
Tab2	CG3731
Tab2	Tak1
Tab2	yki
Fadd	imd
imd	Rack1
imd	Fadd
imd	RpS20
imd	EF2
smt3	ird5
atl	TER94
atl	TER94
cnc	maf-S
kay	Jra
Jra	kay
Pi3K92E	Pi3K21B
Pi3K92E	Pi3K21B
Cbl	Egfr
Cbl	Dap160
Cbl	drk
Dap160	Cbl
drk	Cbl
Cbl	Dap160
msl-1	msl-1
msl-1	msl-2
