source target sign
MMU-MIR-124-3P ZFP46 +
MMU-MIR-124-3P REEP3 +
MMU-MIR-124-3P GGCT +
MMU-MIR-124-3P ANXA4 -
MMU-MIR-124-3P PIP4K2B -
MMU-MIR-124-3P CLN8 -
MMU-MIR-124-3P SPAG9 +
MMU-MIR-124-3P CCDC86 -
MMU-MIR-124-3P SNTA1 +
MMU-MIR-124-3P COA5 +
MMU-MIR-124-3P VSTM2A -
MMU-MIR-124-3P PKDCC +
MMU-MIR-124-3P SCD1 -
MMU-MIR-124-3P SLC38A6 +
MMU-MIR-124-3P NR3C2 +
MMU-MIR-124-3P NSUN4 +
MMU-MIR-124-3P PTPN14 +
MMU-MIR-124-3P ZFP317 +
MMU-MIR-124-3P 3632451O06RIK +
MMU-MIR-124-3P LITAF -
MMU-MIR-124-3P RTN4RL1 -
MMU-MIR-124-3P ATAT1 -
MMU-MIR-124-3P SEPT10 -
MMU-MIR-124-3P SDC4 +
MMU-MIR-124-3P NSDHL -
MMU-MIR-124-3P ABHD5 -
MMU-MIR-124-3P LEPROTL1 -
MMU-MIR-124-3P BCCIP +
MMU-MIR-124-3P MED20 -
MMU-MIR-124-3P CBLN1 -
MMU-MIR-124-3P SMAD5 -
MMU-MIR-124-3P EBF3 +
MMU-MIR-124-3P ATP6V0E2 +
MMU-MIR-124-3P MSANTD4 -
MMU-MIR-124-3P DCX +
MMU-MIR-124-3P NEUROG2 +
MMU-MIR-124-3P GATA6 +
MMU-MIR-124-3P ASCC2 +
MMU-MIR-124-3P FAT4 -
MMU-MIR-124-3P NME4 -
MMU-MIR-124-3P DLK1 -
MMU-MIR-124-3P GNAQ +
MMU-MIR-124-3P ITPR3 +
MMU-MIR-124-3P DYRK2 -
MMU-MIR-124-3P RRAGB -
MMU-MIR-124-3P ACAA2 -
MMU-MIR-124-3P TOLLIP +
MMU-MIR-124-3P ABHD8 -
MMU-MIR-124-3P FAM181B +
MMU-MIR-124-3P MVD -
MMU-MIR-124-3P BRIP1 +
MMU-MIR-124-3P FBN1 -
MMU-MIR-124-3P SOCS2 +
MMU-MIR-124-3P THOP1 +
MMU-MIR-124-3P RAB1 -
MMU-MIR-124-3P BICD2 -
MMU-MIR-124-3P SUCLG2 -
MMU-MIR-124-3P PPM1F -
MMU-MIR-124-3P SCARB1 -
MMU-MIR-124-3P MYL4 -
MMU-MIR-124-3P SREBF2 -
MMU-MIR-124-3P PNPLA2 +
MMU-MIR-124-3P COL18A1 -
MMU-MIR-124-3P GSTK1 +
MMU-MIR-124-3P DHFR -
MMU-MIR-124-3P POGLUT1 -
MMU-MIR-124-3P NUDT19 +
MMU-MIR-124-3P TOM1L1 -
MMU-MIR-124-3P RHPN2 +
MMU-MIR-124-3P DENND6B -
MMU-MIR-124-3P TFAP2D -
MMU-MIR-124-3P OGFOD3 -
MMU-MIR-124-3P PLOD2 +
MMU-MIR-124-3P CRAT -
MMU-MIR-124-3P ECI1 +
MMU-MIR-124-3P MYL9 +
MMU-MIR-124-3P CNOT6 -
MMU-MIR-124-3P UTF1 +
MMU-MIR-206-3P GJA1 +
MMU-MIR-206-3P HHIP -
MMU-MIR-206-3P POLA1 -
MMU-MIR-206-3P IGSF5 +
MMU-MIR-206-3P PAX7 +
MMU-MIR-206-3P MMD +
MMU-MIR-206-3P BDNF +
MMU-MIR-206-3P ID2 -
MMU-MIR-206-3P ID3 -
MMU-MIR-206-3P HMGB3 +
MMU-MIR-206-3P ID1 +
MMU-MIR-206-3P PTPLAD1 -
MMU-MIR-219A-5P PHLPP1 -
MMU-MIR-219A-5P HES5 -
MMU-MIR-219A-5P FOXJ3 -
MMU-MIR-219A-5P SOX6 -
MMU-MIR-219A-5P PDGFRA +
MMU-MIR-219A-5P ZBTB18 +
MMU-MIR-145A-5P RREB1 +
MMU-MIR-145A-5P FOXO1 +
MMU-MIR-145A-5P KRAS +
MMU-MIR-29B-3P EOMES -
MMU-MIR-29B-3P BCL2L11 -
MMU-MIR-29B-3P BMF +
MMU-MIR-29B-3P BBC3 +
MMU-MIR-29B-3P COL1A1 +
MMU-MIR-29B-3P ELN +
MMU-MIR-29B-3P HDAC4 +
MMU-MIR-29B-3P TBX21 +
MMU-MIR-29B-3P COL4A2 +
MMU-MIR-29B-3P FBN1 -
MMU-MIR-29B-3P DUSP2 -
MMU-MIR-29B-3P TGFB3 -
MMU-MIR-29B-3P COL1A2 +
MMU-MIR-29B-3P COL3A1 -
MMU-MIR-29B-3P ACVR2A +
MMU-MIR-29B-3P BAK1 -
MMU-MIR-29B-3P HRK -
MMU-MIR-29B-3P TNFAIP3 -
MMU-MIR-29B-3P COL5A3 +
MMU-MIR-29B-3P CTNNBIP1 +
MMU-MIR-7A-1-3P PRKCB -
MMU-MIR-7A-1-3P WIPF2 +
MMU-MIR-7A-1-3P CPLX1 -
MMU-MIR-7A-1-3P SNCA +
MMU-MIR-7A-1-3P PFN2 +
MMU-MIR-7A-1-3P ZDHHC9 +
MMU-MIR-7A-1-3P BASP1 +
MMU-MIR-143-3P RREB1 -
MMU-MIR-143-3P KRAS -
MMU-MIR-23B-3P SMAD5 -
MMU-MIR-23B-3P SMAD4 -
MMU-MIR-23B-3P SMAD3 +
MMU-MIR-200C-3P MAPK14 -
MMU-MIR-200C-3P NOG +
MMU-MIR-140-5P ZFAND1 -
MMU-MIR-140-5P KCNK2 -
MMU-MIR-140-5P SBK1 -
MMU-MIR-140-5P RAD50 -
MMU-MIR-140-5P D030056L22RIK -
MMU-MIR-140-5P AGXT2L2 -
MMU-MIR-140-5P CXCL12 -
MMU-MIR-140-5P RBBP6 +
MMU-MIR-140-5P SPEER4B -
MMU-MIR-140-5P CPA6 -
MMU-MIR-140-5P SRR -
MMU-MIR-140-5P ZFP868 -
MMU-MIR-140-5P PPP3CB +
MMU-MIR-140-5P RUFY2 -
MMU-MIR-140-5P DDHD1 -
MMU-MIR-140-5P IFIT2 +
MMU-MIR-140-5P GUCD1 +
MMU-MIR-140-5P ASP1 +
MMU-MIR-140-5P FOSB -
MMU-MIR-140-5P SLC25A16 +
MMU-MIR-140-5P TOR1AIP2 +
MMU-MIR-140-5P CENPL +
MMU-MIR-27A-3P TCIRG1 -
MMU-MIR-27A-3P SMAD9 +
MMU-MIR-27A-3P BMPR1A -
MMU-MIR-27A-3P SRM -
MMU-MIR-27A-3P RUNX2 -
MMU-MIR-27A-3P SPP1 -
MMU-MIR-27A-3P IL10 -
MMU-MIR-27A-3P ODC1 -
MMU-MIR-27A-3P BMP2 +
MMU-MIR-27A-3P ALP -
MMU-LET-7E-5P IL10 +
MMU-MIR-138-5P EGR2 +
MMU-MIR-138-5P SOX2 +
MMU-MIR-138-5P JUN -
MMU-MIR-381-3P BDNF +
MMU-MIR-15A-5P CD40 +
MMU-MIR-15A-5P VEGFA -
