miRNA	Target Gene  # filtered 'homo sapiens' from http://mirtarbase.mbc.nctu.edu.tw/cache/download/6.1/miRTarBase_WE_MP.xls
hsa-miR-197-3p	RAB28
hsa-miR-197-3p	DCBLD2
hsa-miR-197-3p	AGR2
hsa-miR-197-3p	MED16
hsa-miR-197-3p	HMGN1
hsa-miR-197-3p	CLIC1
hsa-miR-197-3p	PRKD2
hsa-miR-197-3p	ISYNA1
hsa-miR-197-3p	KLC1
hsa-miR-197-3p	TSPYL1
hsa-miR-197-3p	ATF6B
hsa-miR-197-3p	ALMS1
hsa-miR-197-3p	RBM4
hsa-miR-197-3p	LRP4
hsa-miR-197-3p	DPYSL3
hsa-miR-197-3p	FUS
hsa-miR-197-3p	HPN
hsa-miR-197-3p	FOXO3
hsa-miR-197-3p	EHD2
hsa-miR-197-3p	IER3
hsa-miR-197-3p	SNX1
hsa-miR-197-3p	GOLGB1
hsa-miR-197-3p	ZNF175
hsa-miR-197-3p	IGF2-AS
hsa-miR-197-3p	PHF20
hsa-miR-197-3p	CES1
hsa-miR-197-3p	GORASP2
hsa-miR-197-3p	CDK10
hsa-miR-197-3p	RFX1
hsa-miR-197-3p	GALT
hsa-miR-197-3p	CYLD
hsa-miR-197-3p	KLF10
hsa-miR-197-3p	UMPS
hsa-miR-197-3p	ZNF208
hsa-miR-197-3p	NEK4
hsa-miR-197-3p	THEMIS2
hsa-miR-197-3p	IL1R1
hsa-miR-197-3p	PRKAR2A
hsa-miR-346	BDH2
hsa-miR-346	GALT
hsa-miR-346	SERHL
hsa-miR-346	ENTPD1
hsa-miR-346	FNTB
hsa-miR-346	GGT5
hsa-miR-346	GJC2
hsa-miR-346	SETD4
hsa-miR-346	TSTA3
hsa-miR-346	CFLAR
hsa-miR-346	SSH3
hsa-miR-346	CRELD1
hsa-miR-346	CNPY3
hsa-miR-346	NR2F6
hsa-miR-346	CD247
hsa-miR-346	TERF1
hsa-miR-346	RXRB
hsa-miR-346	DGCR2
hsa-miR-346	IL11RA
hsa-miR-346	INPP5J
hsa-miR-346	MAPK8IP1
hsa-miR-346	MED16
hsa-miR-346	RFX1
hsa-let-7c-5p	HMGA2
hsa-miR-124-3p	CDK6
hsa-miR-124-3p	CDK6
hsa-miR-124-3p	CDK6
hsa-miR-450a-5p	HNRNPK
hsa-miR-15a-5p	ZNF559
hsa-miR-16-5p	ZNF559
hsa-miR-16-5p	WIPF1
hsa-miR-16-5p	VPS45
hsa-miR-16-5p	UGP2
hsa-miR-16-5p	UGDH
hsa-miR-16-5p	HSP90B1
hsa-miR-16-5p	TIA1
hsa-miR-16-5p	SLC35B3
hsa-miR-16-5p	SLC35A1
hsa-miR-16-5p	SKAP2
hsa-miR-16-5p	RNASEL
hsa-miR-16-5p	RHOT1
hsa-miR-16-5p	RAD51C
hsa-miR-16-5p	PRIM1
hsa-miR-16-5p	PNN
hsa-miR-16-5p	PMS1
hsa-miR-16-5p	PHKB
hsa-miR-16-5p	PDCD6IP
hsa-miR-16-5p	OSGEPL1
hsa-miR-16-5p	OMA1
hsa-miR-16-5p	NT5DC1
hsa-miR-16-5p	MSH2
hsa-miR-16-5p	MCL1
hsa-miR-16-5p	FAM69A
hsa-miR-16-5p	C2orf74
hsa-miR-16-5p	FAM122C
hsa-miR-16-5p	JUN
hsa-miR-16-5p	HSPA1A
hsa-miR-16-5p	HSPA1A
hsa-miR-16-5p	HSDL2
hsa-miR-16-5p	HRSP12
hsa-miR-16-5p	C17orf80
hsa-miR-16-5p	HERC6
hsa-miR-16-5p	HDHD2
hsa-miR-16-5p	HACE1
hsa-miR-16-5p	H3F3B
hsa-miR-16-5p	GTF2H1
hsa-miR-16-5p	GOLPH3L
