miRNA	Target Gene  # filtered 'mus musculus' from http://mirtarbase.mbc.nctu.edu.tw/cache/download/6.1/miRTarBase_WE_MP.xls
mmu-miR-132-3p	Ptbp2
mmu-miR-140-5p	asp1
mmu-miR-194-5p	Fzd6
mmu-miR-29b-3p	Tbx21
mmu-miR-29b-3p	Eomes
mmu-miR-155-5p	Tspan14
mmu-miR-155-5p	Tspan14
mmu-miR-155-5p	Lpin1
mmu-miR-155-5p	Pmaip1
mmu-miR-141-3p	Mapk14
mmu-miR-200c-3p	Mapk14
mmu-miR-200b-3p	Mapk14
mmu-miR-122-5p	Klf6
mmu-miR-122-5p	Alpl
mmu-miR-122-5p	Cs
mmu-miR-122-5p	Prom1
mmu-miR-122-5p	Sox4
hsa-miR-132-3p	Mecp2
mmu-miR-22-3p	Arpc5
mmu-miR-883a-5p	Arpc5
mmu-miR-223-3p	Gria2
mmu-miR-223-3p	Grin2b
mmu-miR-375-3p	Elavl4
mmu-miR-122-5p	Uros
mmu-miR-122-5p	Ppox
mmu-miR-122-5p	Urod
mmu-miR-122-5p	Cpox
mmu-miR-122-5p	Fech
mmu-miR-122-5p	Hba-a1
mmu-miR-122-5p	Hmbs
mmu-miR-122-5p	Mir17
mmu-miR-122-5p	Alas2
mmu-miR-122-5p	Mir451
mmu-miR-122-5p	Tfrc
mmu-miR-124-3p	Myl9
mmu-miR-124-3p	Nudt19
mmu-miR-124-3p	Cplx1
mmu-miR-124-3p	Neurog2
mmu-miR-124-3p	Ydjc
mmu-miR-124-3p	Fat4
mmu-miR-124-3p	Leprotl1
mmu-miR-124-3p	Samd5
mmu-miR-124-3p	Aacs
mmu-miR-124-3p	Mogs
mmu-miR-124-3p	Svop
mmu-miR-124-3p	Cul4b
mmu-miR-124-3p	Mpv17l2
mmu-miR-124-3p	Tpm1
mmu-miR-124-3p	Ogfrl1
mmu-miR-124-3p	Mboat1
mmu-miR-124-3p	Srf
mmu-miR-124-3p	Psmc3ip
mmu-miR-124-3p	Vstm2a
mmu-miR-124-3p	Ypel1
mmu-miR-124-3p	Mgrn1
mmu-miR-124-3p	Dlk1
mmu-miR-124-3p	Haghl
mmu-miR-124-3p	Mvd
mmu-miR-124-3p	Palld
mmu-miR-124-3p	Dennd6b
mmu-miR-124-3p	Dyrk2
mmu-miR-124-3p	Prokr1
mmu-miR-124-3p	Obsl1
mmu-miR-124-3p	Palmd
mmu-miR-124-3p	Gpr21
mmu-miR-124-3p	Tnks2
mmu-miR-124-3p	Dab2
mmu-miR-124-3p	Ldlrap1
mmu-miR-124-3p	Stom
mmu-miR-124-3p	Sdc4
mmu-miR-124-3p	Adat1
mmu-miR-124-3p	Bckdha
mmu-miR-124-3p	Tln1
mmu-miR-124-3p	Gata6
mmu-miR-124-3p	Pnpla2
mmu-miR-124-3p	Smad5
mmu-miR-124-3p	Rras
mmu-miR-124-3p	Anxa4
mmu-miR-124-3p	Cln8
mmu-miR-124-3p	Rbms1
mmu-miR-124-3p	Slc40a1
mmu-miR-124-3p	Ccdc86
mmu-miR-124-3p	Vat1
mmu-miR-124-3p	Abhd8
mmu-miR-124-3p	Chek1
mmu-miR-124-3p	Cerk
mmu-miR-124-3p	Col18a1
mmu-miR-124-3p	Stbd1
mmu-miR-124-3p	Zfp317
mmu-miR-124-3p	S100a6
mmu-miR-124-3p	Tnfrsf19
mmu-miR-124-3p	Spag9
mmu-miR-124-3p	Cldn6
mmu-miR-124-3p	Tmem100
mmu-miR-124-3p	Lox
mmu-miR-124-3p	Ptn
mmu-miR-124-3p	Rsph1
mmu-miR-124-3p	Irx5
mmu-miR-124-3p	Ggct
mmu-miR-124-3p	Notch3
mmu-miR-124-3p	Ndufa13
mmu-miR-124-3p	Atxn1
mmu-miR-124-3p	Atat1
mmu-miR-124-3p	Fmnl3
mmu-miR-124-3p	Hn1
mmu-miR-124-3p	Dtx2
mmu-miR-124-3p	Kif5c
mmu-miR-124-3p	Smim4
mmu-miR-124-3p	3632451O06Rik
mmu-miR-124-3p	Dpp6
mmu-miR-124-3p	Fads2
mmu-miR-124-3p	Azi1
mmu-miR-124-3p	Higd2a
mmu-miR-124-3p	Cntnap2
mmu-miR-124-3p	Vmac
mmu-miR-124-3p	Akap9
mmu-miR-124-3p	Sp5
mmu-miR-124-3p	Rsu1
mmu-miR-124-3p	Anxa5
mmu-miR-124-3p	Sema3a
mmu-miR-124-3p	Rab1
mmu-miR-124-3p	Mcf2l
mmu-miR-124-3p	Fbn1
mmu-miR-124-3p	Dgcr14
mmu-miR-124-3p	Zdhhc5
mmu-miR-124-3p	Slc38a6
mmu-miR-124-3p	Dcbld1
mmu-miR-124-3p	Rtn4rl1
mmu-miR-124-3p	Pkdcc
mmu-miR-124-3p	Snx24
mmu-miR-124-3p	Nuak1
mmu-miR-124-3p	Plod2
