Official Symbol Interactor A	Official Symbol Interactor B
MED19	CDK8
MED19	CDK19
MED19	MED27
MED19	MED4
MED19	MED19
MED19	MED6
MED19	MED7
MED19	MED8
MED19	MED18
MED19	MED20
MED19	MED9
MED19	MED29
MED19	MED30
MED19	MED28
MED19	MED21
MED19	MED22
MED19	MED11
MED19	MED31
MED19	MED10
MED19	MED1
MED28	MED13
MED28	MED12
MED28	MED14
MED28	MED23
MED28	MED15
MED28	MED24
MED28	MED16
MED28	MED25
MED28	MED17
MED28	MED26
MED28	CCNC
MED28	CDK8
MED28	CDK19
MED28	MED27
MED28	MED4
MED28	MED19
MED28	MED6
MED28	MED7
MED28	MED8
MED28	MED18
MED28	MED20
MED28	MED9
MED28	MED29
MED28	MED30
MED28	MED28
MED28	MED21
MED28	MED22
MED28	MED11
MED28	MED31
MED28	MED10
MED28	MED1
MED26	MED13
MED26	MED12
MED26	MED1
MED26	MED14
MED26	MED15
MED26	MED25
MED26	MED17
MED26	CDK8
MED26	MED4
MED26	MED19
MED26	MED6
MED26	MED7
MED26	MED8
MED26	MED18
MED26	MED28
MED26	MED21
MED10	POLR2A
MED29	POLR2J
MED29	POLR2G
MED19	POLR2A
MED28	POLR2A
MED28	POLR2B
MED26	POLR2A
MED26	POLR2G
TSEN2	TSEN34
TSEN2	TSEN54
TSEN34	TSEN2
TSEN54	TSEN2
TSEN54	TSEN15
TSEN2	TSEN15
TSEN2	CLP1
CLP1	TSEN2
TSEN15	CLP1
TSEN15	TSEN2
TSEN15	TSEN54
TSEN15	TSEN34
TERF2IP	RAD50
TERF2IP	XRCC5
TERF2IP	MRE11A
TERF2IP	XRCC6
TERF2IP	TERF2
STX18	ZW10
STX18	RINT1
STX18	SCFD1
STX18	SEC22B
KCNJ12	DLG1
KCNJ12	DLG4
KCNJ12	APBA1
KCNJ12	CASK
KCNJ12	DLG3
KCNJ12	DLG2
KCNJ12	LIN7A
KCNJ12	LIN7C
MED25	MED15
MED25	CDK8
MED25	MED6
MED6	MED15
MED6	CDK8
PAK1	ARHGEF2
NDC80	SPC24
NDC80	SPC25
NDC80	NUF2
SSRP1	NEK9
MSH2	MSH3
MSH2	MSH6
MSH2	ATR
BCAR1	SRCIN1
CDH2	CTNNA1
CDH2	CTNNB1
CDH2	JUP
CDH2	CTNND1
MDM2	RPL11
MDM2	RPL5
MDM2	CDKN2A
KLF5	SET
TXNDC17	DYNLL1
MARK4	TUBG1
FBL	PRMT5
FBL	PRMT1
FBL	C1QBP
NCOR1	KDM4A
NCOR1	CORO2A
NCOR1	HDAC3
NCOR1	GPS2
NCOR1	TBL1XR1
NCOR1	ZBTB33
ZBTB33	HDAC3
CEACAM1	ANXA2
MDC1	MRE11A
DNTT	PRPF19
SNX9	DNM2
CHTF18	RFC2
CHTF18	RFC3
CHTF18	RFC4
CHTF18	RFC5
CHTF18	DSCC1
HDAC1	MTA1
HDAC1	MTA2
HDAC1	HDAC1
HDAC1	HDAC2
HDAC1	CHD4
HDAC1	SIN3A
MTA2	CHD4
MTA2	SIN3A
MTA2	MTA1
MTA2	HDAC1
MTA2	HDAC2
MTA1	CHD4
MTA1	MTA2
MTA1	HDAC1
MTA1	HDAC2
BIRC2	DIABLO
BIRC2	HTRA2
BIRC2	GSPT1
YWHAQ	PFKFB2
AR	NONO
PTPN14	CTNNB1
S100P	EZR
PDZK1	PDZK1IP1
GHR	SGTA
SIN3A	ARID4B
SIN3A	HDAC1
SIN3A	HDAC2
SIN3A	SUDS3
SIN3A	SAP30
SIN3A	SAP130
UPF1	UPF2
UPF1	PABPC1
SUPT5H	PRMT5
SUPT5H	SUPT4H1
HCFC1	SIN3A
HCFC1	HDAC1
HCFC1	HDAC2
HCFC1	SUDS3
HCFC1	SETD1A
HCFC1	WDR5
HCFC1	OGT
HCFC1	SP1
MTMR2	SBF1
PPP4R2	DDX20
PPP4R2	GEMIN4
PPP4R2	PPP4C
NELFE	NELFA
NELFE	NELFB
NELFE	NELFCD
CUL4B	CAND1
CAND1	CUL1
CAND1	CUL2
CAND1	CUL3
CAND1	CUL4A
CAND1	CUL4B
CAND1	RBX1
TFAP2A	DEK
HDAC2	CHD3
HDAC2	CHD4
HDAC2	MTA1
HDAC2	MTA2
HDAC2	RBBP4
HDAC2	RBBP7
HDAC2	ZMYM3
HDAC2	ZMYM2
HDAC2	GSE1
HDAC2	GTF2I
HDAC2	KDM1A
HDAC2	PHF21A
HDAC2	HMG20B
HDAC2	HDAC1
HDAC2	HDAC2
HDAC2	SIN3A
KDM1A	ZNF217
KDM1A	ZMYM3
KDM1A	ZMYM2
KDM1A	GSE1
KDM1A	GTF2I
KDM1A	KDM1A
KDM1A	PHF21A
KDM1A	HMG20B
KDM1A	HDAC1
KDM1A	HDAC2
SNRPD3	PRMT5
CLNS1A	PRMT5
PRMT5	CLNS1A
PRMT5	WDR77
CLNS1A	PRMT5
SETDB1	TRIM28
GTF3C2	GTF3C3
GTF3C2	GTF3C5
NCOR2	HDAC3
NCOR1	TBL1XR1
NCOR1	CORO2A
NCOR1	TBL1X
NCOR1	TBL1XR1
NCOR1	GPS2
NCOR1	TBL1X
HDAC3	TBL1X
HDAC3	TBL1XR1
HDAC3	GPS2
ATR	CHD4
RCOR1	KDM1A
RCOR1	ZNF217
RCOR1	HDAC1
RCOR1	HDAC2
