source target sign
856315 851142 +
856315 852695 -
26234 6500 +
2048 6714 -
853048 856267 -
9636 2023 -
2189 2175 +
2189 55120 +
2189 2178 -
2189 57697 +
2189 7517 +
2189 199990 -
7027 1869 +
7027 1876 +
854656 854656 -
854656 856130 +
851691 852990 +
851691 852762 +
1024 9412 -
1024 9282 -
1024 219541 +
1024 90390 +
1024 9968 -
1024 9969 +
1024 1024 +
1024 9862 +
1024 9477 -
1024 9442 +
1024 51003 +
1024 6837 -
1024 55090 -
1024 9440 +
1024 80306 +
1024 112950 -
1024 5469 +
1024 55588 -
79735 10133 -
11235 8428 -
7871 6801 -
1639 9001 +
60485 6788 -
851841 854827 -
6456 6455 +
6456 83737 -
6456 6311 +
6456 1956 +
10075 8036 +
10075 7322 +
10075 7321 -
10075 1029 +
10075 5111 -
10075 4170 +
10075 7709 +
10075 10075 -
7157 5594 +
7157 7157 -
7157 3308 +
7157 10273 +
7157 93759 +
7157 51147 +
7157 578 +
7157 25898 +
7157 2071 -
7157 580 +
7157 7159 +
7157 672 -
7157 10210 +
7157 2033 +
7157 545 +
7157 3065 -
7157 5610 -
7157 6790 -
7157 10987 +
7157 1432 -
7157 1387 +
7157 7158 +
7157 1385 +
7157 83987 +
7157 5371 -
7157 8850 +
7157 10524 -
7157 28996 -
7157 9820 -
7157 3320 +
7157 1029 -
7157 8554 +
7157 7874 +
7157 9532 -
7157 7994 +
7157 23411 +
7157 5599 -
7157 6667 +
7157 9141 +
7157 3313 +
7157 3312 +
7157 4869 +
7157 4088 -
7157 55593 -
7157 641 +
6130 6780 +
855827 850367 -
855827 851996 +
51701 4602 +
6878 6880 +
856508 852666 +
3654 4615 -
3654 57162 +
3654 3654 -
3654 6885 +
3654 8517 +
850983 851776 -
850983 851255 +
850983 853806 -
850983 856870 -
850983 850806 -
9463 2917 -
10389 6045 +
26043 7415 -
855116 853192 -
855116 851897 -
855116 855049 -
7124 7132 +
7124 7128 +
7124 8737 -
7124 7186 +
