source	target
852996	852492
7852	83737
837568	837568
4175	4171
5713	10213
6497	4089
219541	112950
856919	856307
5810	5883
852695	856162
8662	8665
409	9221
853167	854017
6667	3066
2539050	2543116
851201	852025
4686	22916
11060	92714
286826	132660
4297	10450
856607	850620
817696	830996
84759	54880
856801	854945
2064	2885
23607	867
1911	1912
25898	7157
1163	1027
26524	84962
9612	367
6917	5430
853383	850900
855514	852206
1977	1981
6605	6599
5729	81573
84612	5590
30011	868
852814	851756
324	8312
10273	3320
852529	850826
8945	23291
5801	5594
5610	1660
854550	855907
1410	3315
1759	51429
853029	855977
55257	10902
852233	850620
9970	6256
9113	10413
35121	31518
1643	50813
851204	852427
853539	856507
2099	3308
1022	2068
856403	853287
2540584	2540574
1487	8535
2540492	9407016
26249	65267
5598	4209
838573	839495
2539420	2543116
51529	7322
26965	21402
4298	27125
854017	856060
11329	81532
854158	856134
3164	6256
853160	850796
1861	163590
29855	7290
6915	6915
23411	1620
1488	4193
856208	854322
10567	10567
10628	7295
35653	43767
853806	850806
9978	8065
5071	5705
5522	7203
853774	853946
64326	55070
8661	8663
55294	8454
850713	850973
4176	4173
672	675
26272	595
856065	851415
851318	850623
4214	4214
27339	27339
11091	4297
3717	3717
853011	856251
850585	853369
65082	64601
852416	853857
2543281	2540992
855121	855121
2873	9318
856901	853017
853824	855496
7323	7316
851518	853227
855035	855035
855751	854790
8452	53339
852676	852715
851623	851545
2538816	2539083
5886	7316
13385	14812
851623	855950
9775	4116
51070	5515
10963	3326
5684	5688
854776	852865
856713	851124
856012	855068
84612	5584
855136	851996
10856	8607
852969	854879
8451	64708
855968	851437
851934	850774
7128	8887
2932	4137
8451	1643
2541599	2539149
851874	851447
852822	853096
8726	648
155807	5886
5590	8878
2543583	2541124
851678	856012
2539214	2542502
851408	856223
850623	851318
3184	3184
7320	56852
3265	5894
23291	3097
851217	851421
9217	22930
856291	854937
23172	9577
7157	51147
853712	854284
840115	840181
851720	851831
80124	7415
2033	142
3065	8819
1742	3741
9020	7186
7189	6885
192669	57690
857	5743
4193	6208
4734	6338
5977	6602
856319	851114
854504	852772
4193	2547
3065	9219
854277	852421
2542615	2542045
9208	2314
5683	5695
1495	3728
5976	2935
854168	851259
2542884	2541251
7415	137886
140462	6923
850430	850430
4287	7415
57332	6045
851708	851676
853301	856317
2542414	2542244
4116	9939
856604	852995
5702	5708
855520	851647
11124	7415
5501	55183
853942	852083
79016	9730
9918	23397
5499	81566
853937	850624
10482	23636
1107	3065
851897	854680
850909	856577
545	7157
378708	57697
851212	852984
6714	10188
850760	856437
5048	5049
4088	23327
2872	5594
851957	853824
8945	29904
51053	81620
855836	855661
852990	851691
853728	853650
851024	850358
1019	5925
7879	83547
943	7186
57697	2188
9739	11091
8667	10480
11130	147841
3551	8517
1024	10001
852100	855067
2542761	2541936
65266	26249
853332	854745
545	672
5713	9861
6595	6599
5163	5164
5914	5469
3656	7189
27252	79585
9391	84191
604	54880
4086	4089
