Entrez Gene Interactor A	Entrez Gene Interactor B
5599	3014
991	701
991	4085
4085	701
4085	991
701	991
4609	10856
6871	5469
6871	9441
6871	2648
6871	112869
8295	2648
8295	112869
2648	5469
7329	8554
10923	5978
10923	23186
3065	7157
7157	3065
54971	5371
54971	7157
7157	54971
6667	3065
3065	6667
1387	6667
10524	8295
10524	57634
5970	4792
2033	4790
4790	2033
3066	5970
5591	5537
5591	22870
5591	9701
5591	55291
10155	56916
6597	6598
6598	6597
7528	4204
3020	546
3020	1616
3020	4678
3020	142
3020	25842
8353	10036
8353	8208
8353	4678
8353	142
8353	25842
26155	7157
7157	26155
7157	4193
79084	10419
10419	6597
10419	79084
5071	351
155061	5071
5071	155061
51147	51147
7189	9253
1786	29128
1786	7874
7874	29128
7874	1786
29128	7874
29128	1786
59349	1815
1815	409
8837	7157
8837	83737
7157	8837
7157	83737
83737	8837
83737	7157
7157	4193
5894	3320
3320	3312
3320	10728
5894	3312
10664	142
142	10664
6477	1936
26232	23621
80279	23376
4734	2890
51534	51510
51534	27243
5071	25
25	5071
4609	8945
51684	169792
51684	2735
9540	3014
3014	9540
6789	25
23365	8452
84557	1856
841	8772
10075	4170
9156	472
2908	10013
2908	1387
1387	2908
10013	2908
6478	8975
7706	688
9734	23650
55929	10902
55929	8295
55929	57634
55929	54556
55929	10524
2648	8295
4149	4609
4149	55929
4149	10902
4149	57634
4149	8295
4149	4149
4149	10524
10524	4609
10524	55929
10524	10902
10524	57634
10524	8295
10524	4149
10524	10524
4609	57634
4609	8295
4609	4149
4609	10524
1786	5111
1786	1111
90780	9070
90780	11091
90780	5929
90780	8085
90780	2648
1499	2648
1499	5929
3065	3663
25942	3663
9612	3663
2033	3663
1387	3663
387893	51514
51514	387893
467	4088
4088	467
1789	1788
1789	3024
1789	23468
1789	11335
6789	3014
10010	54708
54708	10010
4609	26959
26959	4609
60672	10013
10013	60672
27145	3297
3297	27145
3297	3303
27145	5886
104	5300
10670	64121
55294	10399
10670	57521
3014	142
3014	4841
3014	7534
3014	811
3014	553115
3014	1072
57154	387
57154	4086
150684	8454
150684	8453
150684	8452
7157	4193
51079	7337
51322	80124
51322	7415
4193	6233
6233	4193
55829	7415
55829	3837
55829	267
55829	79139
3837	267
3837	55829
267	3837
200558	8290
58484	58484
5705	58484
58484	5705
841	58484
55626	5071
5071	55626
2033	51043
267	3064
7415	267
267	7415
3840	7157
4193	6125
4193	6135
8517	8915
51429	83737
5531	55671
5531	57223
5531	151987
2033	8850
26013	7157
5925	56950
4137	23411
10765	7071
6667	5970
23028	3065
3065	23028
1869	29028
1871	29028
1874	29028
4300	3899
4300	27125
4300	1025
4297	4300
4297	1025
4297	84444
2034	2161
2161	2034
54708	55669
11124	1499
4193	7157
10048	7189
7189	10048
7353	8975
2074	25885
2074	7507
2074	5430
2074	1161
2074	1642
4988	4985
29110	340061
4086	10273
867	5295
867	4627
4734	2260
3320	207
10273	207
1786	7874
29128	7874
56852	7319
56852	7320
6135	4193
1387	996
996	1387
996	991
5347	1499
3949	29116
7436	29116
2261	3326
2261	11140
3326	2261
11140	2261
6198	2033
6199	8850
6198	8850
6199	2033
2033	6198
8850	6198
5682	5708
5682	10213
5682	5701
7157	4193
79759	4869
4869	79759
467	1387
2033	860
2033	4086
860	4086
55611	7334
165918	7334
55611	7322
5810	3364
84126	545
9099	6337
9099	6340
163786	54461
54461	163786
54469	7186
7186	8737
11186	991
3312	1080
54332	203068
331	10456
10456	331
8945	994
23291	994
4734	4914
1909	10987
10987	1909
8202	8405
8405	8202
8202	1454
150684	5970
5429	5111
5111	5429
2078	3312
3312	2078
1191	150684
150684	1191
150684	4792
8772	6737
3665	7189
79876	51569
367	51497
51497	367
4891	5071
3726	57154
6605	6599
79365	3065
4297	6502
6502	4297
29101	5885
29101	10735
5885	10735
5885	9126
5885	29101
54880	54880
604	54880
5914	5914
5901	5905
5901	10204
5901	5902
545	25
472	25
5111	4193
7421	2309
7421	8202
7421	23411
7421	5501
2309	7421
2309	23411
23411	2309
23435	2521
10014	10971
2100	688
11059	688
688	2100
2119	64326
64326	2119
64326	2115
