source 	 target 
CP07	PVV
DA08	PDB
PLML	VA09
HOA	DVF
PVR	DVA
DGLR6	VBWMR24
AVDR	VB08
PHCL	R9AL
CP09	CA09
AVKR	CA04
SPVR	LUAR
VSRL	DSRL
OLQDR	OLLR
AVBL	PVNR
PHAL	R7BL
PVQL	ASKL
PDA	DA09
DGLL4	VBWML22
CA06	AVKL
ANAL	CA06
VA11	AVAL
CA03	AVL
INTR	DGLR7
R2AL	CP09
HYP	EF2
PVQR	DVB
R6BR	R7AR
OLQVL	AVER
PVM	PDER
PCCL	SPCR
AVL	EF1
I4	I2L
DD01	VBWML8
CP01	DVB
VD09	DD05
CEPVL	IL2VL
DD05	CP04
IL1VR	RMED
DSPR	ANAL
R7BR	PVV
SPH	DGLR4
URYDR	AVAR
RIBR	RMHL
VB08	VD10
PVV	R7AL
DBWML10	DBWML9
CA09	EF1
DB07	AVAL
AVKR	HOB
PDC	R3AR
SPVR	PVT
PQR	AVBR
CA08	AVJL
DVA	PVPR
HYP	VB05
VBWMR23	VBWML22
DA05	VB09
PVY	PVPL
AVKL	VB05
OLQVR	CEMVR
I3	MI
VA06	VA02
RMDR	SMDDR
DVE	AVG
CP06	CP04
VA09	PVCR
AVBR	VB10
R1BR	EF2
VD05	DD02
HOB	PCBL
R7BL	DBWML23
SMDDL	SIBVR
VBWML20	VBWMR20
PVV	R3BL
PCCL	SPVR
OLQVL	OLLL
VD13	PDB
PVNL	CP07
SIAVL	SIBVL
VA12	VB09
VBWML8	VBWML7
SPCR	DVE
PVQL	CA06
PM8	MC3DR
DBWML22	DBWML21
PVNL	HYP
DBWML11	DBWML10
SIADR	SMBDR
VBWMR24	VBWMR23
VB02	VB04
PM7VL	MC3DL
SPDL	DSPL
AVAL	VB11
RMGR	RMHL
R1AL	R4AL
DVF	DVF
VD10	DD05
AVFR	AVFL
AVFL	R7BR
DGLR1	DGLR2
PM5VL	M5
CA07	CA05
AVG	EF2
AIZR	AIZL
PM5VR	M3R
AVER	AVAR
SPH	DGLL4
HOA	PVQR
SPH	DGLR7
PVZ	VB06
AVDR	AVAR
DVF	DVC
HYP	PVX
DVA	PDER
PHBR	PDB
VA10	VB08
DBWML22	PCBL
LUAL	HOB
HYP	AVAR
VSRL	DBWML23
VD10	SPVL
CP03	CA05
AVAL	AS10
PHAL	R5BR
DX3	PVZ
R5AR	PDC
AVAL	VA12
DD05	PVPL
DVA	VD13
AFDL	AFDR
CP02	SPDR
VB10	PVCL
VBWMR24	DGLR8
CP04	EF2
VB08	VB05
AVBR	VB11
EF1	AVHR
PVCL	DA06
SPCL	EF3
PVPR	VB08
URYDR	RIGR
RMED	RID
VB08	DB05
AVKL	SIAVL
AS08	AVAL
DBWMR12	DBWMR13
PDB	DA08
AVG	PQR
EF1	PVZ
CA05	DD05
PM5VL	MC2DL
R7BL	PHAL
VD11	CA09
VBWMR17	VBWMR18
DD06	CP07
PM2D	PM3D
EF3	R2AL
EF1	CP04
SPDL	CP06
M5	M5
VBWMR22	VBWML23
DGLL2	DGLL1
PVQR	PVQL
VBWML17	VBWMR18
VBWML12	VBWML11
R2AL	R4AL
VB05	DB05
PVX	DD04
VA04	VA07
DD06	SPVR
PVX	HYP
AILL	VBWML22
DVC	PVDR
AVG	DVB
AVAL	AS08
PCBR	HOA
HYP	DD04
VD10	VA12
AVFL	DVA
AVG	PVDL
AVG	HOA
CP03	DVC
MI	M2R
R7AR	R7AR
DBWML10	DBWML11
CEMVL	MCML
AVER	OLQVL
AVER	RIVR
CA05	EF2
AVG	PVQR
PVCR	VB09
DBWMR18	DBWMR17
AVBL	VB01
VBWML21	VBWMR22
DGLR7	INTR
R4AL	R6AL
CP01	R3BR
DVE	AVL
RIGR	OLLR
AVL	DVE
DB02	DB01
MC2DR	MC3DR
ADAL	ADFL
RIMR	RMFR
CP05	DVF
PM5VR	MC2V
AVBR	VB08
R6BR	PVDR
AVAL	PVDR
RIBR	RIBR
PCAL	PCAR
AVAR	DA03
RMDDR	OLQDL
VBWMR21	VBWMR20
CEPDL	IL2DL
MC1V	PM4VR
DGLR7	SPH
CEPVR	IL1VR
SMDVR	RIBL
PVV	PHAL
R5BR	PHAL
VA11	AVAR
DA06	DA05
PVY	DVF
SMBVL	RMHL
R7BL	PGA
PM2VR	PM3VR
VBWML19	VBWMR19
VB08	DA04
IL1R	IL1DR
HOB	SPCL
DBWMR21	DBWML21
AILL	AILL
CA06	PCCR
PVQR	CP05
AVBL	SIBDL
M3R	PM5D
M3R	PM4VR
SPVL	SPCL
VBWML23	VBWMR24
CP06	HOB
OLLL	OLLR
PCAL	SPCL
VBWMR24	AILR
PQR	PVPL
VBWMR19	VD10
PVX	VB08
PCAL	GRTL
SPVL	CA07
PCAL	AVG
DBWMR1	DBWMR2
PM5VL	PM4VL
DBWML23	VD13
PVT	DVC
AVBL	DB02
AVKR	CA08
EF2	CP04
PVWL	PHCL
ASKR	ASKL
PDB	CP09
RIGR	RIGL
AVJL	PVCL
PM5VR	PM4VR
R7BR	PVNR
DD06	CP09
